model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-2.7909535347663237,0.12099373226099293,0.0,-3.0367470153761578,-2.561759417679847,0.061362674566229965,0.04799074902108749,0.07716884869645377
A) is_cancer alone,is_cancer,1.017886198550421,0.5240205668914826,0.08196527931081166,-0.1476502955171837,1.9547066407573992,2.7673389720233947,0.86273276370995,7.061847061696086
B) is_cancer + nb_vessels_disease,(Intercept),-3.2476681593148924,0.3197561069441277,0.0,-3.902227107213843,-2.641921518391718,0.038864728606072,0.02019688070156187,0.07122427922135127
B) is_cancer + nb_vessels_disease,is_cancer,1.001198089603706,0.5238999026046796,0.0869088063626221,-0.16583596983641977,1.9400697969932648,2.721540525373313,0.8471851867176452,6.959236687482491
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.23183913801493808,0.14338678423315246,0.1060955376325512,-0.04933147992878517,0.5162542147230013,1.2609168789212062,0.9518655530719903,1.6757389207603202
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-2.9626788659497807,0.16511699916364966,0.0,-3.2906193276751545,-2.629245195567096,0.05168028700867491,0.03723078419947328,0.07213288791936932
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.9532502769965472,0.5280916149354623,0.10363849605115849,-0.22226631450938847,1.8992865957836884,2.594127604857839,0.8007020973516512,6.681126397968014
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.0039900329095779235,0.002426447348574209,0.14923062080356675,-0.0017600136710731076,0.008591840373563293,1.0039980036885854,0.9982415342447373,1.0086288561693892
B) is_cancer + dyslip,(Intercept),-2.4699152291003683,0.14935192993635266,0.0,-2.7752855713962465,-2.1881826465112835,0.08459202964008393,0.06233167400464971,0.11212032584073219
B) is_cancer + dyslip,is_cancer,0.9922215227887443,0.5265758216357075,0.09056193801397838,-0.17903100442561232,1.9377916806822468,2.6972197568208363,0.8360799768157331,6.943400781738873
B) is_cancer + dyslip,dyslip,-0.7275472872179382,0.2462773780048459,0.002499306696718606,-1.2241672128248586,-0.25273622974355814,0.4830924251498603,0.29400243986279145,0.7766727179696991
