model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.1109093139390187,0.13718901071027087,0.0,-3.3913536038955514,-2.8525448586129194,0.04456041750349332,0.03366307957053048,0.05769730240660393
A) is_cancer alone,is_cancer,1.3378419777231165,0.5279951665862943,0.02785673355049012,0.16647432135382914,2.284345088267004,3.81081081076955,1.1811332055792882,9.819253373529078
B) is_cancer + nb_vessels_disease,(Intercept),-3.4659440673449717,0.3556196143378444,0.0,-4.19818525012762,-2.794419004874372,0.031243495534984077,0.015022814749137458,0.061150392093502835
B) is_cancer + nb_vessels_disease,is_cancer,1.3241411713507518,0.5270171157960014,0.029329160640647056,0.15218779307352714,2.2712723064313227,3.7589556695049846,1.1643788781900513,9.69172381563467
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.18298555746536802,0.16094701116221344,0.25702160379213757,-0.13366849028483374,0.5023710546002115,1.2007970654023918,0.8748800477700007,1.6526351169915108
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.2873897853100265,0.18209187971426405,0.0,-3.6504661901342192,-2.9192947745673505,0.037351216961009626,0.02597901479487075,0.053971736123238634
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,1.2713184478766524,0.5322184653865213,0.03679124322623539,0.08898584018301191,2.227421125514615,3.565550457139601,1.0930651786138645,9.275913790382065
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.004091504133773239,0.0025429410051134387,0.16649285176261597,-0.0021408876058453844,0.008810388573596298,1.0040998857640713,0.9978614024594761,1.0088493142798907
B) is_cancer + dyslip,(Intercept),-2.8267815709952595,0.1722144567292808,0.0,-3.1820338067690583,-2.5044096964306033,0.05920308831348945,0.04150116388284214,0.08172382561538744
B) is_cancer + dyslip,is_cancer,1.3100862399517903,0.5291175678099965,0.031235061100872152,0.13480393323325876,2.2622683006516895,3.7064933462348795,1.1443124007223955,9.604851166214518
B) is_cancer + dyslip,dyslip,-0.610605614270649,0.27214502869979135,0.022849538452972662,-1.159070413329663,-0.08398063268714127,0.5430219076561379,0.31377772894629086,0.9194490631803507
B) is_cancer + kilip,(Intercept),-4.817030434344083,0.2869947612987038,0.0,-5.412852282892415,-4.282525038503106,0.008090777596130487,0.004458904000744914,0.013807752923763515
B) is_cancer + kilip,is_cancer,1.39729376832883,0.5840185719962779,0.033720887149266465,0.11976522749661189,2.4738043578740707,4.044240492388557,1.1272321773912948,11.867509332970414
B) is_cancer + kilip,kilip,0.9139378540003742,0.10025538675090082,0.0,0.7182653482716735,1.1132271841613959,2.4941247199342613,2.0508725736497055,3.044166645790396
B) is_cancer + did_vf_occur,(Intercept),-3.3778705396341064,0.16029786889293493,0.0,-3.7081815180848983,-3.07816165594275,0.03412003469065936,0.02452207570166533,0.04604382328284881
B) is_cancer + did_vf_occur,is_cancer,1.501220647677789,0.5398143569329058,0.016751032417341882,0.30858781373019256,2.475547329413924,4.487162973868494,1.3615010627852935,11.888212100913218
B) is_cancer + did_vf_occur,did_vf_occur,1.846590029228777,0.3151525965980133,2.1357708279712284e-07,1.206331694133806,2.4492638352746527,6.338169657601467,3.3412055805911423,11.57981892645884
B) is_cancer + thrombectomy,(Intercept),-3.0358864163549977,0.17899108318272866,0.0,-3.406394035133686,-2.70190435703258,0.04803206758952941,0.03316056085910085,0.06707765123455561
B) is_cancer + thrombectomy,is_cancer,1.355900179455955,0.5277720473085328,0.02623517657654173,0.18320621917860178,2.304878608276347,3.8802523083877904,1.2010620645766004,10.022961474003594
B) is_cancer + thrombectomy,thrombectomy,-0.14861929009020325,0.26630120144777175,0.5767723983919583,-0.6793657398093157,0.3720772617797833,0.8618971852448285,0.506938421279778,1.450745064108909
B) is_cancer + is_smoker,(Intercept),-2.910612281480516,0.19074955139071592,0.0,-3.3064667336168663,-2.555263221216911,0.054442385597735,0.03664542332502549,0.07767178451466598
B) is_cancer + is_smoker,is_cancer,1.296917836644722,0.5279585244426046,0.03250304977650076,0.12350268444322085,2.2458405932847647,3.658004706664012,1.13145304185945,9.448354442602227
B) is_cancer + is_smoker,is_smoker,-0.3539932444502384,0.26443881362077043,0.18234388593887485,-0.8765633478399991,0.16744337525026642,0.7018797089226784,0.41621082849226254,1.1822783420742444
