model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.0206264380932506,0.1316625261019629,0.0,-3.2892185232056894,-2.772197603904877,0.04877065699323616,0.03728297379355582,0.0625244496769783
A) is_cancer alone,is_cancer,1.4866960781672953,0.48823036455370294,0.008506525559464295,0.4256369634408322,2.37577471844149,4.422459893040126,1.5305650232006112,10.759345421407755
B) is_cancer + nb_vessels_disease,(Intercept),-3.4601451905995924,0.34452439492321807,0.0,-4.168226211226051,-2.809438619826322,0.03142519904363375,0.015479693492757437,0.060238799769966954
B) is_cancer + nb_vessels_disease,is_cancer,1.4713227723828162,0.48805150964829686,0.009173536527215531,0.4088977940255112,2.3620711616062566,4.35499199585857,1.5051578764962794,10.612909756204079
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.22385922488054946,0.15436110269074918,0.14741196553665148,-0.07900405284587075,0.5303439357769953,1.2508949121522135,0.9240361794612836,1.6995167327185954
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.194404363157641,0.17604234483481626,0.0,-3.545799199943222,-2.8403736557030963,0.040990933816461905,0.028845559925250074,0.05840383895935242
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,1.4235532947172786,0.49251168992016575,0.0118941806156323,0.3520543489217432,2.3211813717571235,4.151846996859714,1.4219858050137175,10.187702663890384
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.004026707334450715,0.002492618323029604,0.15929966121262273,-0.0019354271770665457,0.008712548770611535,1.0040348254131477,0.9980664445543843,1.0087506134902517
B) is_cancer + dyslip,(Intercept),-2.755862580061582,0.1666435514594771,0.0,-3.0987905937713243,-2.4433422938699323,0.06355417545383243,0.04510371813872548,0.08687002057432587
B) is_cancer + dyslip,is_cancer,1.4624769633023138,0.48945734428274246,0.009656506887435246,0.39774251931412885,2.3565350622536565,4.316638452269592,1.4884607306734943,10.554317967999214
B) is_cancer + dyslip,dyslip,-0.5619866584029596,0.2590574009609373,0.028164431940259083,-1.0819340013310808,-0.05971138426124411,0.5700753930434542,0.33893938214203456,0.94203638087866
B) is_cancer + kilip,(Intercept),-4.731520290461974,0.27516505729596025,0.0,-5.301128028848457,-4.217955588407744,0.008813062435061619,0.004985966419564197,0.014728725322426885
B) is_cancer + kilip,is_cancer,1.6016424473119668,0.5446385562537174,0.009446044813304688,0.4298605763318433,2.6161287690486823,4.961174203578019,1.5370432084060957,13.682652218833615
B) is_cancer + kilip,kilip,0.9202748865160394,0.09679297032036886,0.0,0.7314653017832746,1.1125327733923989,2.5099802548422545,2.0781234557899273,3.0420534774772694
B) is_cancer + did_vf_occur,(Intercept),-3.2777126257421907,0.1530438519777492,0.0,-3.5922581477618762,-2.99089232972172,0.0377144252253039,0.027536079627372794,0.05024258376396499
B) is_cancer + did_vf_occur,is_cancer,1.6512986047639788,0.49931615999717915,0.0045731677843106056,0.569869080515169,2.5655329951883945,5.21374602834904,1.768035565975627,13.007589504994437
B) is_cancer + did_vf_occur,did_vf_occur,1.8163756992490456,0.30660482687666185,1.4393806047063862e-07,1.1942776297383648,2.403003437650196,6.1495302651383135,3.301172240332428,11.0563335714607
B) is_cancer + thrombectomy,(Intercept),-2.982453061343536,0.17443862060293505,0.0,-3.3428135686656133,-2.6564948433118696,0.05066838862592263,0.03533739353876157,0.07019383142065988
B) is_cancer + thrombectomy,is_cancer,1.4932786815732406,0.4881521212542218,0.008312169793274315,0.4310932984291211,2.384183735089433,4.451667217246279,1.5389391238619203,10.850202409755147
B) is_cancer + thrombectomy,thrombectomy,-0.0671100742373511,0.2540199626309471,0.7918383815050535,-0.5711104359103053,0.4307653729806793,0.9350922661035775,0.5648978074808285,1.5384345492955454
B) is_cancer + is_rcv,(Intercept),-2.6605278999115267,0.1358928231196578,0.0,-2.9377075918576505,-2.4038248852013533,0.06991130582939642,0.05298705757984018,0.09037163027747845
B) is_cancer + is_rcv,is_cancer,1.4510110314629687,0.4991966254574141,0.010998597437289814,0.37078249293794796,2.3723624171319333,4.267426837653415,1.4488679001114257,10.722693861582718
B) is_cancer + is_rcv,is_rcv,-2.185656907846834,0.5507065020990369,5.2266956207525084e-08,-3.4772702403279703,-1.2441448261035646,0.11240387041178594,0.030891622747566856,0.28818725299795644
B) is_cancer + is_smoker,(Intercept),-2.791495640009055,0.18075535120902025,0.0,-3.1650590098289157,-2.4536846823121388,0.06132941855358344,0.04221165083831694,0.08597620712770891
B) is_cancer + is_smoker,is_cancer,1.4408112675741451,0.48885440988681383,0.0105670055244943,0.37701485213015934,2.333011684626467,4.224121319965078,1.457925962516586,10.308942110099009
B) is_cancer + is_smoker,is_smoker,-0.41323398672921796,0.2533597906345534,0.10367091560800556,-0.9144120394136702,0.08488605523098545,0.6615074807459653,0.40075218332352835,1.0885930201510734
B) is_cancer + hta,(Intercept),-3.1114615910659174,0.18777413626428696,0.0,-3.5012258242550884,-2.761963974972228,0.04453581459857725,0.03016038941598675,0.06316758689519446
B) is_cancer + hta,is_cancer,1.4698487829526528,0.48750890937019153,0.009180933644877598,0.40848155192183494,2.359060074726446,4.348577512290085,1.5045314967872494,10.581001426365678
B) is_cancer + hta,hta,0.19315484054144907,0.2534934256462798,0.44623216953525846,-0.3040599375243767,0.6957673341628939,1.2130706114881251,0.7378166422222803,2.0052471784106936
B) is_cancer + is_diabetic,(Intercept),-3.0999174038232837,0.14857293740083044,0.0,-3.4045312488410997,-2.8206798804216553,0.045052923439109584,0.03322238946618591,0.059565431568403375
B) is_cancer + is_diabetic,is_cancer,1.488510969650438,0.4880677143167419,0.008472498540359696,0.4267020511240266,2.3788248273464574,4.430493465660707,1.53219607760894,10.792212695591243
B) is_cancer + is_diabetic,is_diabetic,0.43403993228988513,0.30054224772235894,0.1636588621588101,-0.18652506778065453,1.00115156943661,1.5434805015967177,0.8298377594996773,2.7214139217981463
B) is_cancer + is_male,(Intercept),-2.8451724277653336,0.24214940058350956,0.0,-3.355583406143824,-2.3999233032047993,0.05812424364227321,0.03488900975349953,0.09072491133252336
B) is_cancer + is_male,is_cancer,1.4865503541912406,0.4872730610516303,0.008495082262981457,0.42585356269391955,2.3751835851909515,4.4218154815548125,1.5308965783474404,10.752987094069637
B) is_cancer + is_male,is_male,-0.2269032396989329,0.28219931997464526,0.42914784647325654,-0.7641935863294579,0.3502478285662405,0.7969978963156886,0.4657093339623251,1.4194192776516774
B) is_cancer + age,(Intercept),-6.601786404977042,0.7555475955067819,0.0,-8.144218295642808,-5.161349125434307,0.0013579400386553567,0.0002904095773672144,0.005733958635570063
B) is_cancer + age,is_cancer,1.1133657824088588,0.4972452739984547,0.043602017794148074,0.03562406467335766,2.0234077771152927,3.0445885911922588,1.0362662041814008,7.564057685697498
B) is_cancer + age,age,0.05402849520569536,0.01059903441340243,1.8606950780153397e-07,0.03343763361211653,0.07529017839918666,1.0555146788344454,1.0340029546859806,1.0781969749672446
B) is_cancer + bmi,(Intercept),-0.2088443446254841,0.8982679666705057,0.8183892784235742,-1.968285843386922,1.591348883208027,0.8115215435026895,0.13969611210982372,4.910367976069994
B) is_cancer + bmi,is_cancer,1.493948996246698,0.4924495292816961,0.008621560521254179,0.42447980473116437,2.395666937685209,4.454652235442328,1.5287949408839006,10.975515603606718
B) is_cancer + bmi,bmi,-0.10752109909497806,0.035017658460095025,0.001435473947964394,-0.1788597405603976,-0.040071502253582435,0.8980575740488556,0.8362231793665523,0.9607207429981998
B) is_cancer + lvef,(Intercept),-0.10887371988907792,0.463109534621706,0.8150125548096431,-1.0342453797800575,0.7965491319340733,0.8968436638650558,0.3554945431022296,2.217874116559498
B) is_cancer + lvef,is_cancer,1.3092193853633776,0.5062144429799198,0.021385675809945437,0.21561357574736634,2.242300208259697,3.7032817476663618,1.2406228795924914,9.414962774581312
