model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) {main_variable} alone,(Intercept),-1.1486227092427712,0.45014069095211523,0.005754534257399024,-2.115073320664722,-0.31922005350574345,0.31707317073170727,0.12062444496443017,0.7267156153911289
A) {main_variable} alone,aco,-1.04860186808506,1.557190008580944,0.4520956122578942,-5.9846709161330365,1.3982370841705958,0.35042735043028994,0.002517041900082383,4.048057288452004
B) aco + nb_vessels_disease,(Intercept),-1.3634391744253203,1.1345557274346112,0.21149179746870472,-3.932093483198376,0.7367206607475613,0.25577959191654476,0.019602591870484028,2.0890734884962616
B) aco + nb_vessels_disease,aco,-1.0032708556356313,1.5657176545745772,0.4834274907151208,-5.955799369292615,1.5224419152301183,0.3666781263627316,0.0025907720230420508,4.58340382455962
B) aco + nb_vessels_disease,nb_vessels_disease,0.1257227523190643,0.4934635262326805,0.8009920524622846,-0.8582065765806366,1.1654049722646453,1.1339677347723367,0.4239216720357655,3.207221455978335
B) aco + dyslip,(Intercept),-0.8572409145770449,0.555846993971939,0.11144684244063996,-2.0701169715954033,0.1923256670895439,0.42433123480472495,0.12617102241606112,1.2120651824369364
B) aco + dyslip,aco,-1.0362053774310385,1.515349364796805,0.45648220367946424,-5.970627556374245,1.400253641464814,0.3547984570191963,0.0025526389913685735,4.05622866415901
B) aco + dyslip,dyslip,-0.5718333256407826,0.8642966555198288,0.5143476003752234,-2.478159083630352,1.1352437163870572,0.564489596220672,0.08389753185592085,3.11193187928626
B) aco + is_smoker,(Intercept),-1.1897867311616637,0.5986463614777819,0.033025034867702585,-2.5473501616535645,-0.09097140549616804,0.30428615190131936,0.07828884416697315,0.9130438185609648
B) aco + is_smoker,aco,-1.0428703003408473,1.5106167234621872,0.44987544051455153,-5.970228894566222,1.371581232953884,0.35244161546275693,0.002553656833918098,3.9415783240434257
B) aco + is_smoker,is_smoker,0.1844749427599825,0.8383602561503594,0.8303845748856049,-1.5504026465708114,1.9294163142174179,1.202586847400061,0.212162530110884,6.8854901057665225
