model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) {main_variable} alone,(Intercept),-2.964770047949466,0.1307620735176981,0.0,-3.2313934672533065,-2.7179232271280043,0.05157232704405395,0.03950241509678784,0.06601170348616957
A) {main_variable} alone,is_cancer,1.6378991073003764,0.4601751843020373,0.002149649768507178,0.6543301669163375,2.4870314658747024,5.144350423093198,1.9238534250140136,12.025524901297459
B) is_cancer + nb_vessels_disease,(Intercept),-3.0240922289026724,0.32340522990937315,0.0,-3.68433687514793,-2.409786743890118,0.04860192066976,0.025113822802957483,0.08983445027503877
B) is_cancer + nb_vessels_disease,is_cancer,1.6332461701207517,0.45902702890875285,0.0021920424418427897,0.6503934013287478,2.481322858431461,5.120469684617003,1.916294553569701,11.95707147310959
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.034240905682322506,0.15193640805666525,0.8222976723213281,-0.26628417955212136,0.3331462572265876,1.0348338740624752,0.7662213521181586,1.3953513637670074
B) is_cancer + dyslip,(Intercept),-2.7780916517838494,0.169274236126001,0.0,-3.1266251520697113,-2.4608585561628775,0.06215701148983641,0.04386558741471475,0.08536163174248301
B) is_cancer + dyslip,is_cancer,1.6230145592581138,0.4602848311821618,0.002351183537326107,0.637971604241055,2.473919077285766,5.068346139998445,1.8926379643262752,11.868870844753804
B) is_cancer + dyslip,dyslip,-0.3826379061403375,0.252978191129559,0.12847405506132548,-0.8872648461141,0.11024428651342007,0.68205982425257,0.4117804969032303,1.116550795446873
B) is_cancer + is_smoker,(Intercept),-2.7883820544358526,0.18450806189221292,0.0,-3.16994318233524,-2.443812332881673,0.061520670531598244,0.04200598451759021,0.08682919787058846
B) is_cancer + is_smoker,is_cancer,1.6010604820453467,0.4604916394567066,0.0026486201562017087,0.6155613610176625,2.4521053945033846,4.958287812481032,1.8506952161615433,11.612770462494877
B) is_cancer + is_smoker,is_smoker,-0.30492746896804007,0.2504923992802033,0.22536818242423384,-0.7979125583972297,0.1895922277834822,0.7371768406496121,0.45026789172758624,1.208756599790739
B) is_cancer + hta,(Intercept),-3.3068647225393897,0.20885176811283085,0.0,-3.743573327431372,-2.9205833246801602,0.036630841754325225,0.02366937341664222,0.05390223562362314
B) is_cancer + hta,is_cancer,1.6016317419988677,0.4622758450401981,0.002699174353207434,0.6130159472425691,2.4572005473142684,4.9611210929391145,1.8459904214297342,11.672090296035915
B) is_cancer + hta,hta,0.6238784579799777,0.25953539830177264,0.014424934655834498,0.12270749435162344,1.1465793112976028,1.8661518156407437,1.130553679240968,3.1474081710165867
B) is_cancer + is_diabetic,(Intercept),-2.979812518644499,0.1431012777837452,0.0,-3.272571592129063,-2.7103403134158053,0.05080235746696225,0.03790881560868621,0.06651416719953081
B) is_cancer + is_diabetic,is_cancer,1.6352139903650722,0.4590833969715263,0.002167101354818346,0.6524894617376775,2.4832098460502157,5.130555769068698,1.9203154352485992,11.979655620237594
B) is_cancer + is_diabetic,is_diabetic,0.12678227789463453,0.3234348952663588,0.6988565293713913,-0.5506964835451746,0.7295080632859376,1.1351698393069927,0.5765481142347811,2.07406005038395
B) is_cancer + is_male,(Intercept),-2.5557070451721575,0.21812238606611226,0.0,-3.0106294721377576,-2.1512142015918863,0.07763731956480256,0.04926066078555884,0.11634280835440947
B) is_cancer + is_male,is_cancer,1.6473197071365115,0.4616321955246956,0.0020936635179593654,0.6604973905650697,2.5011759993054676,5.193042283002733,1.9357549212254892,12.19682899248175
B) is_cancer + is_male,is_male,-0.5643344113110812,0.2649791904572434,0.03872694261320386,-1.0748962182521669,-0.030177516352498168,0.5687385667645224,0.34133317761663345,0.9702732788865565
B) is_cancer + age,(Intercept),-5.834423952369174,0.7187528000945841,0.0,-7.296249251240864,-4.459798857238627,0.0029251077763282917,0.0006780773091421472,0.011564689207061279
B) is_cancer + age,is_cancer,1.3199909416988989,0.4676291964943058,0.011755970144113448,0.32229080779305247,2.18582740486009,3.7433874683764574,1.3802861155571224,8.89800776329697
B) is_cancer + age,age,0.04377057726762301,0.010265356465970685,1.622720670135802e-05,0.023750754194327504,0.06427005906072342,1.04474263968041,1.0240350496386885,1.066380345552929
B) is_cancer + bmi,(Intercept),-1.528442281700877,0.8513532455758819,0.0794584759652055,-3.193629792055763,0.18162340721745537,0.2168732317342758,0.041022696508878936,1.199162512887854
B) is_cancer + bmi,is_cancer,1.6348712085827484,0.4605693581844029,0.0022122131672503986,0.6495529850116437,2.4864997499703905,5.128797409401912,1.9146847449079871,12.019132438087526
B) is_cancer + bmi,bmi,-0.054027075123055,0.03228348893140875,0.08936915163723436,-0.12000145046702429,0.008007407983270017,0.9474064550081888,0.8869191502692438,1.008039553016758
B) is_cancer + prasugrel,(Intercept),-2.851213254906345,0.18287390445357599,0.0,-3.2296230043557395,-2.5100342457766227,0.05777418352457848,0.03957241460456199,0.08126545619457819
B) is_cancer + prasugrel,is_cancer,1.6652090931032897,0.4612410822728668,0.0018914898773988442,0.6792215420617872,2.5183683184023513,5.286778563136206,1.9723417493673243,12.408333686975658
B) is_cancer + prasugrel,prasugrel,-0.19961325970683835,0.2512201830660183,0.4281661368378151,-0.6935857053412338,0.29657056463337217,0.8190474504853245,0.499780785678325,1.3452374828378895
B) is_cancer + aco,(Intercept),-3.0035498840775223,0.13487653222458462,0.0,-3.2788379534633516,-2.749121981155305,0.049610643376003946,0.03767200800822164,0.06398401572230202
B) is_cancer + aco,is_cancer,1.5077305954703446,0.46978763806035595,0.004965979023442202,0.5020396156559274,2.3761201581636437,4.5164694589096195,1.6520874601154703,10.763062768723426
B) is_cancer + aco,aco,1.0354305274271656,0.4974772923156468,0.060580159315820614,-0.051420052640536486,1.939313450605639,2.816318477001741,0.9498795872914768,6.953975084001504
C) {main_variable} + all,(Intercept),-3.9881772186715345,1.2636451638176112,0.0020487380052843784,-6.567963598604454,-1.4459470552169102,0.01853346580492442,0.001404654942895337,0.23552291769275746
C) {main_variable} + all,is_cancer,1.2529172130380721,0.4716645411149778,0.018034755679684933,0.23514978866270533,2.138566201499622,3.5005398975365183,1.2650982519166665,8.487259880264853
C) {main_variable} + all,nb_vessels_disease,-0.08101516888866567,0.15664701050778104,0.6146126899383426,-0.3984684655590762,0.23456743873098626,0.92217970289727,0.6713474508246708,1.2643617365117075
C) {main_variable} + all,dyslip,-0.3036468374483382,0.2566364348059713,0.24711563122586022,-0.8267999508953799,0.20993689822089773,0.7381214972967767,0.4374469004740906,1.23360021513242
C) {main_variable} + all,is_smoker,0.053238116155338015,0.26590253083199655,0.8453733692168202,-0.4819116851568811,0.5921753491836471,1.0546807517476122,0.6176016027449119,1.8079169915878899
C) {main_variable} + all,hta,0.41845814964470757,0.2751275760271106,0.13503172011000641,-0.12931111833608397,0.9821104884553264,1.5196167268054617,0.8787005431635253,2.670085484203685
C) {main_variable} + all,is_diabetic,0.012101966289343057,0.3414186969630883,0.9724734473983376,-0.7184524420592676,0.6664070095709526,1.0121754913834198,0.4875061164497916,1.947228363744544
C) {main_variable} + all,is_male,-0.14045391166253715,0.28441386004333763,0.632089515261288,-0.701503798137428,0.4462645384336488,0.868963713102745,0.4958391009463406,1.5624647438434356
C) {main_variable} + all,age,0.035560865375367186,0.011513900219161299,0.0025244312094694354,0.012452314166666704,0.05899501854687517,1.0362007149542236,1.0125301670446096,1.0607699565511828
C) {main_variable} + all,bmi,-0.04217552115993419,0.03281653320762789,0.20663446912894123,-0.11102053477819476,0.022493434395968005,0.958701493405784,0.8949203717490102,1.0227483191819138
C) {main_variable} + all,prasugrel,-0.041048452374129255,0.25333746173811217,0.8745431759093415,-0.5513117754063425,0.4716975063762716,0.9597826250743394,0.5761934779861079,1.6027125000812217
C) {main_variable} + all,aco,0.6941851698637033,0.5007310747155123,0.20020477247741153,-0.4075995963518156,1.6259871578712386,2.0020770564021917,0.6652451921042948,5.0834347137310685
D) nb_vessels_disease + others,(Intercept),-4.057277856770004,1.2673083425072411,0.001728405575375569,-6.644291267317984,-1.5106916044663439,0.017296037382149486,0.0013014304577824575,0.22075724845225395
D) nb_vessels_disease + others,nb_vessels_disease,-0.0941261648717787,0.1563856375313451,0.5572513744845509,-0.41071922853456017,0.22033181809336197,0.9101679237772288,0.6631731055480233,1.2464902699984421
D) nb_vessels_disease + others,dyslip,-0.3146694349014406,0.25655663382993293,0.22957320898654687,-0.8371740710628849,0.19803983199639108,0.7300301568778146,0.4329322321076145,1.2190109484943226
D) nb_vessels_disease + others,is_smoker,0.048996978275837905,0.2655910321990271,0.8572223177615002,-0.4849434810327049,0.5866080683615175,1.0502171772686135,0.6157319963174208,1.797879775916734
D) nb_vessels_disease + others,hta,0.4329326972760165,0.27503177122620076,0.12127971881812272,-0.11381655116234593,0.9958059281159609,1.5417724517229405,0.8924216545820115,2.706905033294483
D) nb_vessels_disease + others,is_diabetic,-0.006324418159109496,0.34137670476435844,0.9855658336754483,-0.7358981494339878,0.6465215202496145,0.9936955388790338,0.47907498476234456,1.90888923445455
D) nb_vessels_disease + others,is_male,-0.12626226900958173,0.28281461662889057,0.6646667059442646,-0.6833863666191228,0.4568056682756676,0.8813836568490203,0.5049043030276493,1.57902200036368
D) nb_vessels_disease + others,age,0.03740552274302228,0.011397639028232126,0.0012837082094687702,0.014576268095404818,0.06061252356702344,1.0381139142935487,1.0146830199417287,1.0624871456877578
D) nb_vessels_disease + others,bmi,-0.042680600336960944,0.03281594491649747,0.20044128869505262,-0.11151041000063018,0.02187529474393024,0.9582173955086554,0.8944820797957866,1.0221163132458613
D) nb_vessels_disease + others,prasugrel,0.009712354465098515,0.2511637694912715,0.9698927007139037,-0.4948470027962738,0.5180116412283541,1.0097596724453257,0.6096641770754242,1.6786864980723184
D) nb_vessels_disease + others,aco,0.8176376888377754,0.49355734406043245,0.12944994546656163,-0.2656642293386436,1.7341142630552213,2.265142540714782,0.7666965184835015,5.6639088480772495
D) dyslip + others,(Intercept),-4.057277856770008,1.2673083425071805,0.001728405575375569,-6.6442912673180246,-1.5106916044663365,0.017296037382149423,0.0013014304577824043,0.22075724845225558
D) dyslip + others,dyslip,-0.3146694349014411,0.25655663382993277,0.22957320898654687,-0.8371740710628888,0.19803983199641492,0.7300301568778143,0.43293223210761284,1.2190109484943517
D) dyslip + others,nb_vessels_disease,-0.09412616487177827,0.15638563753134488,0.557251374484681,-0.410719228534587,0.22033181809337496,0.9101679237772292,0.6631731055480056,1.2464902699984584
D) dyslip + others,is_smoker,0.04899697827583743,0.26559103219902586,0.8572223177615002,-0.4849434810327104,0.5866080683615118,1.050217177268613,0.6157319963174175,1.7978797759167238
D) dyslip + others,hta,0.4329326972760167,0.27503177122620065,0.12127971881814137,-0.11381655116235725,0.9958059281159747,1.5417724517229408,0.8924216545820014,2.7069050332945204
