model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) {main_variable} alone,(Intercept),-1.0882365035252517,1.0553382221819065,0.2779743984419957,-3.5443902062146546,0.8301181591533042,0.33680993341876164,0.028886231784750555,2.2935897328746027
A) {main_variable} alone,dapt_duration,-0.020651461199235454,0.10890061658326418,0.8512695076543666,-0.23164266326438337,0.21560609354562874,0.9795603198573822,0.7932295227174005,1.240613597036553
B) dapt_duration + nb_vessels_disease,(Intercept),-1.5722257850086907,1.4887227689821299,0.2790324269164366,-4.960062761610399,1.22338372095169,0.20758263346715247,0.007012487703752778,3.3986684445298216
B) dapt_duration + nb_vessels_disease,dapt_duration,-0.015956705952283004,0.10655962727842105,0.8838772632752417,-0.2242041631934518,0.22003457066065266,0.9841699278327641,0.7991519602965946,1.2461198090278018
B) dapt_duration + nb_vessels_disease,nb_vessels_disease,0.23928054596774465,0.48793102971499286,0.6286054057120689,-0.7362253289858206,1.2809522444321801,1.270334873923562,0.4789182668623798,3.6000662369017604
B) dapt_duration + dyslip,(Intercept),-0.8613331621523264,1.053790302116927,0.4017532771909563,-3.311804986793947,1.1122403623702226,0.42259831452574437,0.0364503219910091,3.0411640775519135
B) dapt_duration + dyslip,dapt_duration,-0.012732932680950076,0.10546977488688272,0.9056125508075307,-0.21996146309039225,0.21696626199621774,0.9873477881389029,0.8025497251527695,1.2423021886347902
B) dapt_duration + dyslip,dyslip,-0.5887371451282636,0.864786575710337,0.49454188881560945,-2.467977460384192,1.0868745391572174,0.5550277618539483,0.08475610835071233,2.9649926073970385
B) dapt_duration + is_smoker,(Intercept),-1.1187416574271756,1.079998953903697,0.28297319631928985,-3.5881136965867557,0.8807902748299606,0.32669062480761185,0.027650438378382696,2.4128057328158965
B) dapt_duration + is_smoker,dapt_duration,-0.021585324212969815,0.10555036036478743,0.8415336414286876,-0.2279984819009354,0.21121493275872572,0.9786459717093544,0.7961254684318653,1.2351778067067576
B) dapt_duration + is_smoker,is_smoker,0.18218984392962914,0.8338156158674412,0.8290988750607414,-1.5194081596128919,1.8897262882182526,1.1998419549713195,0.21884136779226945,6.617557129780118
B) dapt_duration + hta,(Intercept),-1.2825403219058271,1.1529541539125625,0.24391888095254965,-3.9893330693101023,0.823679813293456,0.27733189256911295,0.018512056262139354,2.2788702443391444
B) dapt_duration + hta,dapt_duration,-0.02059228066788877,0.10655499398731885,0.8504382345448104,-0.2297880693805801,0.21426661793697221,0.9796182924730057,0.7947020063461975,1.238952937838096
B) dapt_duration + hta,hta,0.4113329435425936,0.8587125213840805,0.6329485849723742,-1.2603539955077283,2.278568256757745,1.5088276273549237,0.28355363201928635,9.762692729193708
B) dapt_duration + is_diabetic,(Intercept),-1.0789684315091785,1.0654489939701333,0.29170567929305313,-3.577587578268703,0.8799023478838907,0.3399460224384613,0.02794302737595665,2.410664288453869
B) dapt_duration + is_diabetic,dapt_duration,-0.020154962774854294,0.10657866158489482,0.8529756362250964,-0.22824954594075944,0.21370753940807063,0.9800467907688049,0.7959256150446031,1.238260459445169
B) dapt_duration + is_diabetic,is_diabetic,0.18023505480787533,1.037882440850887,0.8646460018516094,-2.247408405779553,2.117380111010589,1.1974988078952615,0.10567273083864097,8.309339399068786
B) dapt_duration + is_male,(Intercept),-1.2426757148505305,1.3140002972240608,0.32468575524832144,-4.389334341645907,1.1642137349354704,0.2886109432821951,0.01240898661744358,3.203403168751709
B) dapt_duration + is_male,dapt_duration,-0.017511004301064375,0.106361927981963,0.8726965688909546,-0.2252394324903173,0.21958656680327462,0.982641422323527,0.79832505091937,1.2455616675806982
B) dapt_duration + is_male,is_male,0.2306775748019844,0.9962623627284236,0.8172084244231241,-1.6093543904435612,2.6143604171992356,1.2594530945636713,0.20001670509571953,13.658477856166146
