model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) {main_variable} alone,(Intercept),-1.7346010553881055,0.885614869762274,0.02003592213262273,-3.9744442269363565,-0.24534457324783512,0.17647058823529427,0.018789741425456617,0.7824348856572323
A) {main_variable} alone,prasugrel,0.6359887667199956,1.0132807804197927,0.5151281408629236,-1.1954573567646656,3.0263655708526906,1.8888888888888868,0.3025655421352623,20.62214649419592
B) prasugrel + nb_vessels_disease,(Intercept),-2.1004698992956006,1.3123692409786536,0.08347165426206071,-5.217154587685562,0.2562519726966369,0.12239889958100385,0.005422737117974242,1.2920782553682406
B) prasugrel + nb_vessels_disease,prasugrel,0.5872468376613866,0.9843754453290186,0.5445783482478479,-1.2275210174151716,2.9610654030726034,1.7990285731915991,0.2930180647539835,19.318542830203356
B) prasugrel + nb_vessels_disease,nb_vessels_disease,0.21972541236351642,0.49203639819061923,0.6615438329622316,-0.7732412796943106,1.2724917449503133,1.2457346202948296,0.46151474301216444,3.5697363622318483
B) prasugrel + dyslip,(Intercept),-1.5514893642791747,0.8835677863024464,0.044790865031127836,-3.799071420510449,-0.03268242735500205,0.21193209456423379,0.022391554543772035,0.9678458721629889
B) prasugrel + dyslip,prasugrel,0.9571352547364914,1.04745950463937,0.34814711901608875,-0.9723804848669941,3.4369655408688518,2.604225334885016,0.3781817098925728,31.09246605705429
B) prasugrel + dyslip,dyslip,-0.8829079615470331,0.9138891596215069,0.33379343972105946,-2.8720524698360537,0.8903559732946851,0.41357849097733124,0.05658267308750944,2.435996646719284
B) prasugrel + is_smoker,(Intercept),-1.9232877231828682,1.0620307943589333,0.04384765803949209,-4.507233835906385,-0.04826248570521113,0.14612575050095547,0.011028925838515303,0.9528836359152315
B) prasugrel + is_smoker,prasugrel,0.7282192892098636,1.0177715490489274,0.46616269656496967,-1.1479992713109273,3.1685550990385773,2.071388777262304,0.317270907805503,23.773109739332092
B) prasugrel + is_smoker,is_smoker,0.34880266662996573,0.8643986814753762,0.6925528812555177,-1.4090540831238332,2.1525573648748764,1.4173694684498692,0.2443743316642898,8.606841109425915
B) prasugrel + hta,(Intercept),-1.8263166233701045,0.963145048057466,0.029059570776563293,-4.233946386496781,-0.16809287624882277,0.16100552088569547,0.014495074361160374,0.8452753250374625
B) prasugrel + hta,prasugrel,0.5649348594674797,0.9900393905207869,0.5635350782403672,-1.2694018095380788,2.9473616184387024,1.7593331750891485,0.2809996628312001,19.05561137257853
B) prasugrel + hta,hta,0.3272632075590757,0.8678188149065552,0.7098361469160361,-1.3893260717243425,2.213561208389345,1.3871665418538166,0.24924322009736227,9.148237231105107
B) prasugrel + is_diabetic,(Intercept),-1.7294924747256533,0.8976151531643887,0.02667353078537249,-4.0097242418423145,-0.18121247505160562,0.17737440912517632,0.018138396357982447,0.8342580808341175
B) prasugrel + is_diabetic,prasugrel,0.6224939381705804,0.9815044922710487,0.5180913339687487,-1.1826919945695962,2.9882924273246467,1.8635698792681155,0.3064526583061709,19.851755218397457
B) prasugrel + is_diabetic,is_diabetic,0.281592265288143,1.039820341967152,0.792872645936465,-2.154619853224598,2.2654533113628563,1.3252382641711977,0.11594725921278644,9.635491489034232
B) prasugrel + is_male,(Intercept),-1.6596656366159601,1.0211046790333411,0.06626105526843229,-4.2304428418197535,0.10113040590164471,0.19020256624419168,0.01454594756801978,1.1064209161732739
B) prasugrel + is_male,prasugrel,0.5618467000750387,1.0115544338522544,0.5786009920265283,-1.3432367159201961,2.9963995738585987,1.7539084543324155,0.2609995186483875,20.01335045997976
B) prasugrel + is_male,is_male,0.041918556835140376,1.0382193243671736,0.9685978738861122,-1.9696465173134168,2.493242470781246,1.042809545582459,0.13950616051284273,12.100447928251155
B) prasugrel + age,(Intercept),-5.777438589802357,3.8461394625298047,0.12121207985064819,-15.019442707425354,1.4465475654155007,0.003096637016293852,3.00012196707383e-07,4.248421768646026
B) prasugrel + age,prasugrel,0.5519888961167914,0.9954862930264119,0.5759607105877469,-1.301295497083471,2.946190046766527,1.7367037084591141,0.27217895748904103,19.03329943067006
B) prasugrel + age,age,0.056696932333652764,0.05018242807987144,0.2641549246155408,-0.042246020418628044,0.17161323959217928,1.058335014663441,0.9586339080435772,1.1872185752678925
B) prasugrel + bmi,(Intercept),-0.09060586980784276,2.9678634175858947,0.9761540607318732,-6.28248296078133,5.998732482335739,0.9133776296678731,0.0018687547840882507,402.9177643083889
B) prasugrel + bmi,prasugrel,0.6717239721714654,0.9932066597638218,0.4886861339047637,-1.145373106525674,3.059490020424753,1.9576092771375975,0.3181052085170453,21.3166833164396
B) prasugrel + bmi,bmi,-0.061404031197538206,0.10990993035984187,0.5840832275884276,-0.2966565408516243,0.15989249736815472,0.9404431946159917,0.7432992614569406,1.1733847222654612
B) prasugrel + aco,(Intercept),-1.4656519603550044,0.8703648290720291,0.06409835088379101,-3.7051096958542424,0.0790257172798481,0.23092738688741846,0.024597518973783625,1.0822321537795947
B) prasugrel + aco,prasugrel,0.4887299766263937,0.9797665718269762,0.621542790410418,-1.3713449136733629,2.875753828772802,1.6302444560756675,0.25376543733882734,17.738791093745682
B) prasugrel + aco,aco,-0.9237823791850532,1.5056495314100216,0.5126992037871403,-5.855955900885992,1.5405622387553581,0.39701453805281134,0.00286279774186387,4.66721362182199
C) {main_variable} + all,(Intercept),-3.8834799727989178,4.783937488660451,0.44504579379224174,-15.24229350404857,5.899472163310605,0.02057908576980429,2.400800316343184e-07,364.8448385396709
C) {main_variable} + all,prasugrel,0.5095574827013438,1.0347745117617744,0.641407637904158,-1.612854073541542,2.9615071390402665,1.6645544378107342,0.19931793346641252,19.327078410511916
C) {main_variable} + all,nb_vessels_disease,-0.006449680927600124,0.5072721847886316,0.9902937623555911,-1.0566699972393638,1.127317685145491,0.9935710736203912,0.3476114321789857,3.087364101094373
C) {main_variable} + all,dyslip,-0.49525684926956304,0.8409571376724876,0.5756604650726842,-2.5783654244276044,1.2384754532886788,0.6094143595594699,0.0758979636419265,3.450349234421514
C) {main_variable} + all,is_smoker,0.3947264740112232,0.8214758402847216,0.6529812170929936,-1.381330989820778,2.1907350203690195,1.4839782287904955,0.2512439273076429,8.941783092577577
C) {main_variable} + all,hta,-0.06347594913608172,1.1030969483843234,0.9570330110437274,-2.457101253896439,2.5276373449493335,0.9384966906854277,0.08568296448899461,12.52388154212054
C) {main_variable} + all,is_diabetic,0.11141416778402409,1.1928281315330083,0.9290478699321769,-2.8896940964314943,2.561659089377857,1.1178577916762837,0.055593216173837556,12.957296805915352
C) {main_variable} + all,is_male,0.36251207325910195,1.3045415438225942,0.788353665907672,-2.2645960984765505,3.3061543964511664,1.4369345693647668,0.10387198012029927,27.28001537162702
C) {main_variable} + all,age,0.05393145352264489,0.058409295939392335,0.3937006729627991,-0.06931472000445027,0.19705432333576328,1.0554122548833034,0.933032989718834,1.2178101944211344
C) {main_variable} + all,bmi,-0.05607066526606035,0.10174023647708316,0.5993353969629338,-0.27740706930490633,0.1600848507574151,0.945472321476545,0.7577459791916361,1.1736104485026027
C) {main_variable} + all,aco,-1.1449523282052165,1.4667624254959597,0.45429873173335533,-6.474858011692954,1.510490539491598,0.3182390884573268,0.0015417178277129448,4.5289518792570975
D) nb_vessels_disease + others,(Intercept),-3.310383883266819,4.652280841667589,0.5037306731000992,-14.199776219594627,6.293569967195574,0.03650215849595167,6.809505007277902e-07,541.0815285394053
D) nb_vessels_disease + others,nb_vessels_disease,-0.03162337865706855,0.5141330240251734,0.9530614695882389,-1.09408616740205,1.1187762125118306,0.9688714110256497,0.3348454598746451,3.0611057671783795
