model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-2.982002080741282,0.13178306588131855,0.0,-3.250810524596649,-2.7333162561034747,0.05069124423967224,0.03874279311547874,0.06500336403094521
A) is_cancer alone,is_cancer,0.5483887253408324,0.6726473780643905,0.4472649846346536,-1.0597534460914457,1.689665680634041,1.7304625199348078,0.34654124089542276,5.417669170610449
B) is_cancer + nb_vessels_disease,(Intercept),-3.4415999133269497,0.3511913743209859,0.0,-4.165253454968631,-2.7782921463531673,0.0320134256269538,0.015525779315470462,0.0621445505958002
B) is_cancer + nb_vessels_disease,is_cancer,0.5299313607112289,0.6712709523733574,0.46204703118433477,-1.0792491810391378,1.672975119085898,1.6988156991152594,0.33985059614852,5.327995662198897
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.23374555615275117,0.1574053589852852,0.13835629509010772,-0.07539611786797983,0.5469213896728655,1.2633230065433847,0.9273760633329274,1.7279252125532893
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.1959838207303495,0.17557595047888933,0.0,-3.5470850194023242,-2.8452442963951174,0.04092624147848358,0.028808493578411424,0.058120066482630586
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.44980383469313223,0.678783169175185,0.5333016889246001,-1.1755558815558038,1.609624522691273,1.5680045672220402,0.3086473606174864,5.000933138349749
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.0048987653832213325,0.0024294226411236256,0.08549546931557384,-0.0008564368217628516,0.009583643445061879,1.0049107839517295,0.9991439298155773,1.00962971361164
B) is_cancer + dyslip,(Intercept),-2.7108897827703657,0.16603059702130898,0.0,-3.0528298664489983,-2.399500222752171,0.06647762974203641,0.0472250944097437,0.09076330338996642
B) is_cancer + dyslip,is_cancer,0.521582058838418,0.6724828152032286,0.4692335635972791,-1.0890825544011813,1.6675549371143363,1.6846908225011175,0.3365250955902087,5.2991950788768225
B) is_cancer + dyslip,dyslip,-0.5907779882801728,0.2658434370676947,0.024242167035895212,-1.126648112838533,-0.07614405062397164,0.5538961923177713,0.3241178441395457,0.9266827077220465
B) is_cancer + kilip,(Intercept),-4.459432328173866,0.2632494675012347,0.0,-5.00250326086251,-3.965575521365291,0.011568928778696239,0.0067211012535135116,0.01895712324284179
B) is_cancer + kilip,is_cancer,0.4627827799854867,0.711463448512523,0.5389840250904379,-1.2095904691993946,1.707868456268326,1.5884882534958484,0.29831942541003403,5.517188805883441
B) is_cancer + kilip,kilip,0.8208674623075912,0.09711589675380233,1.887379141862766e-15,0.6296923439981129,1.0125636088228993,2.2724702650731072,1.8770330099513144,2.752648691886647
B) is_cancer + did_vf_occur,(Intercept),-3.2450713507020654,0.15361345483543,0.0,-3.5608151067733447,-2.957153085012317,0.03896578402205051,0.028415653480331756,0.0519666514183081
B) is_cancer + did_vf_occur,is_cancer,0.683530736601074,0.6833200367043587,0.35835105695610026,-0.9427482922078362,1.853375048460938,1.9808592923578812,0.3895557497994337,6.381320484678215
B) is_cancer + did_vf_occur,did_vf_occur,1.8435081578674721,0.3069894345834196,1.0189181665065661e-07,1.2206012286351753,2.4311404083892367,6.318666302902553,3.3892248201955293,11.371843233517243
B) is_cancer + thrombectomy,(Intercept),-3.0221083875782226,0.18303884709563695,0.0,-3.401901435806749,-2.681002412390262,0.048698434871209256,0.03330987312144568,0.0684944600347087
B) is_cancer + thrombectomy,is_cancer,0.5347565991255854,0.671293569091741,0.45812140986624317,-1.0740713403594118,1.677207764308408,1.7070326984329454,0.34161485196641383,5.350594971273438
B) is_cancer + thrombectomy,thrombectomy,0.09851979850148855,0.25780001504567707,0.7031945064939341,-0.4105186044037613,0.6075579919880117,1.103536252542249,0.6633061674231583,1.8359425337132713
B) is_cancer + is_rcv,(Intercept),-2.6666440847107062,0.13966842483379663,0.0,-2.951876632450137,-2.403093357823919,0.06948502031275353,0.05224157566385631,0.09043776378545643
B) is_cancer + is_rcv,is_cancer,0.4811909733933516,0.675902334701646,0.5038809302354696,-1.1339120920241004,1.637077366388507,1.6180002503969289,0.3217719893013905,5.140124836292105
B) is_cancer + is_rcv,is_rcv,-1.4960872182265186,0.41722447247820454,1.8975633953921545e-05,-2.416597244809461,-0.749009864953233,0.2240049300479819,0.08922471133943037,0.4728344910426309
B) is_cancer + is_smoker,(Intercept),-2.7761829557466458,0.18564681149019985,0.0,-3.1610271650849118,-2.4297663248153705,0.06227576362616513,0.042382185213934206,0.08805740700925332
B) is_cancer + is_smoker,is_cancer,0.5033251558797638,0.6718999034121386,0.48359865237496924,-1.1065017985738688,1.6473531111034057,1.6542126507150674,0.33071384353081235,5.19321575411253
B) is_cancer + is_smoker,is_smoker,-0.36128007583702165,0.2579601756971662,0.16352974528997288,-0.8706761238441502,0.14808266179418933,0.6967838188243174,0.4186683818545495,1.1596087477409418
B) is_cancer + hta,(Intercept),-3.131531125814287,0.19544841713580183,0.0,-3.5389601419743424,-2.7686520581259297,0.043650911023516634,0.029043512514776697,0.06274652643462494
B) is_cancer + hta,is_cancer,0.5247588012414706,0.6712247382441792,0.46600330178235305,-1.0840723930586458,1.6670938944111888,1.6900511609723419,0.3382153713563449,5.296752486766052
B) is_cancer + hta,hta,0.29984342097704864,0.25961058309828017,0.2474851013902768,-0.20781666927777595,0.8175753982416717,1.3496474645491647,0.8123559528646107,2.2650014480300804
B) is_cancer + is_diabetic,(Intercept),-3.101660653272584,0.15161824404005683,0.0,-3.413039390278135,-2.816948137135924,0.04497445337145812,0.03294092773372575,0.059788129735475856
B) is_cancer + is_diabetic,is_cancer,0.5473531973422757,0.672146998245201,0.4487073166166442,-1.0624615523377339,1.6918508466121247,1.7286715050280483,0.34560403998894523,5.429520620939765
B) is_cancer + is_diabetic,is_diabetic,0.6092366784515283,0.29595201332687604,0.04978663079200585,0.0005971519295232184,1.171097265623853,1.8390270938727482,1.0005973302602318,3.2255299606271253
B) is_cancer + is_male,(Intercept),-2.6434973260505186,0.22930046309030555,0.0,-3.1250874832632767,-2.2199525583608595,0.07111213184121871,0.0439330900452025,0.10861426154133191
B) is_cancer + is_male,is_cancer,0.5499633464045917,0.6715136051051284,0.4463952635560572,-1.0590635065127005,1.6930132747712305,1.7331894890768245,0.34678041591185144,5.435835718312397
B) is_cancer + is_male,is_male,-0.45846842638230695,0.2763583026212072,0.10707435592779868,-0.9892735230017009,0.10285427359082615,0.6322512436684311,0.3718467310182237,1.108329884372856
B) is_cancer + age,(Intercept),-7.685188328000725,0.8155963952429542,0.0,-9.361041258214145,-6.138105468913125,0.0004595842286319273,8.601049294078412e-05,0.00215901005780339
B) is_cancer + age,is_cancer,0.0813228721097045,0.6825977839541308,0.9063305168445717,-1.5428186950688276,1.2506973634367196,1.0847210662128013,0.2137776773073502,3.4927778439237054
B) is_cancer + age,age,0.06975627121744296,0.01114851573372557,5.530820246235635e-11,0.04823812729286721,0.09229976532844864,1.0722468119938167,1.0494205212411452,1.0966935235059916
B) is_cancer + bmi,(Intercept),-0.4209798210825563,0.9090329590914532,0.6484896359138752,-2.203950083802321,1.4045991715542276,0.6564033467844766,0.11036633990397823,4.073893481568461
