model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-2.5302589076920845,0.10803594973592265,0.0,-2.7486281537469104,-2.324643433897216,0.07963839862247094,0.06401562058599654,0.09781831652971464
A) is_cancer alone,is_cancer,0.4688358715149268,0.5777107308273095,0.443078542234438,-0.8565961510523004,1.4770859367852032,1.5981326781326783,0.42460491632778735,4.380162993330863
B) is_cancer + nb_vessels_disease,(Intercept),-2.8806324315026304,0.28344477573086957,0.0,-3.456886385425014,-2.3407457827268403,0.056099272665458,0.03152777469113691,0.0962558255234501
B) is_cancer + nb_vessels_disease,is_cancer,0.4550810522161173,0.5771104875390349,0.45612990673146636,-0.8710615621543012,1.4643802543589883,1.5763011405571163,0.41850704211618933,4.324862095141135
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.17948102954913653,0.12911905677818694,0.1652998763006217,-0.07412796483596756,0.43464334164812946,1.1965962038826758,0.9285528641234919,1.5444121332250027
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-2.724107160085454,0.15089439970916543,0.0,-3.025100938028519,-2.4237101814625817,0.06560475111734246,0.0485529201866188,0.08859231338934523
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.38784556624991606,0.5835351036698984,0.526603563688367,-0.9512963602151442,1.4098336777271365,1.4738021619175592,0.38623999260652686,4.095274212109092
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.004460215869094625,0.0022731629997673726,0.07962045095918624,-0.000623409003743325,0.008932236304959103,1.004470177436635,0.9993767852752757,1.0089722477695537
B) is_cancer + dyslip,(Intercept),-2.229511462050781,0.13565044645877894,0.0,-2.505396325183618,-1.9723751444899764,0.10758097468849516,0.08164323430261969,0.13912601907995117
B) is_cancer + dyslip,is_cancer,0.43984227240294826,0.5795001681784885,0.47207375820101427,-0.8898239554216582,1.4552167687018391,1.552462333045941,0.4107280528350145,4.28541230818937
