model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.1889169425594956,0.1421886427645434,0.0,-3.4801220176251384,-2.921592755784264,0.041216486596526436,0.03080365221494587,0.05384785248303856
A) is_cancer alone,is_cancer,0.7553035871590459,0.6747631650401805,0.30880557556612154,-0.8555491450308227,1.9022818918489137,2.128257536948981,0.4250497130437185,6.701168350385367
B) is_cancer + nb_vessels_disease,(Intercept),-3.5656754186980972,0.37392623600979996,0.0,-4.339074308607092,-2.8605712729168693,0.028277879624044964,0.01304860159264315,0.05723605351687434
B) is_cancer + nb_vessels_disease,is_cancer,0.7401875867616299,0.6726795229900089,0.31787398528009914,-0.8711949202770538,1.887943650334098,2.09632872112914,0.41845123452397454,6.605770930124203
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.19400469828575542,0.16903550863342162,0.2530965413369115,-0.13895472780992726,0.5303359940280571,1.214101987140905,0.8702674264787732,1.699503235636983
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.4143494185389063,0.18582534271776704,0.0,-3.7870518045177817,-3.044923642024168,0.032897802441302,0.02266231639785722,0.0475999464843304
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.6490241112781833,0.6823501193619559,0.3824936213664779,-0.9827711435962435,1.8170543783600148,1.9136723861671183,0.3742724976244266,6.15370523944521
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.005119786727986474,0.0024525953174226317,0.07931947914563486,-0.0007554858305781535,0.009800628580745879,1.0051329152315402,0.9992447994769889,1.009848812021728
B) is_cancer + dyslip,(Intercept),-2.9764120499245963,0.1848090157332797,0.0,-3.3598559069976193,-2.631926425681467,0.050975403346228944,0.0347402644131062,0.07193974209795014
B) is_cancer + dyslip,is_cancer,0.7313264690999529,0.6733864267239759,0.3234416479607476,-0.8807800426990107,1.8804261285984305,2.077834964360769,0.4144594894576213,6.556298093128406
B) is_cancer + dyslip,dyslip,-0.43139374694458926,0.2806165055366227,0.12259576345936951,-0.9942833600950349,0.11573803489763981,0.649603081183583,0.36998849808084744,1.122701724934494
B) is_cancer + kilip,(Intercept),-4.83943131620763,0.2955088874750492,0.0,-5.454727422249191,-4.289332213167409,0.007911551943895982,0.004276042176833955,0.013714080322482567
B) is_cancer + kilip,is_cancer,0.6764435371444714,0.7217735708311412,0.3857287012057894,-1.012378066430349,1.9494325282376816,1.9668701778340851,0.3633538716926075,7.024700130350863
B) is_cancer + kilip,kilip,0.8879837483879629,0.10383172705004332,4.440892098500626e-16,0.6846314064520141,1.0944415840906787,2.4302247636104286,1.983040764780164,2.987513942196269
B) is_cancer + did_vf_occur,(Intercept),-3.4911719261516487,0.16904001402418187,0.0,-3.840609869275725,-3.175975137453856,0.03046514833840752,0.021480497054363185,0.04175336895308061
