model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-1.812993607907638,0.07983424436840399,0.0,-1.9724969137567872,-1.6593652266929146,0.1631649530621368,0.13910907883803486,0.19025971356586163
A) is_cancer alone,is_cancer,0.6708962072997896,0.4269192328715842,0.13803786086255598,-0.23516384640955199,1.4629458638339286,1.9559895074322355,0.7904413280446404,4.318663000953532
B) is_cancer + nb_vessels_disease,(Intercept),-2.9079963603046832,0.23058629427322005,0.0,-3.373112709697246,-2.4673000235458473,0.05458498902542599,0.03428275881304311,0.08481354471334122
B) is_cancer + nb_vessels_disease,is_cancer,0.6427757138739427,0.43430168930480095,0.16047959140584944,-0.2766949598372488,1.4524003812125292,1.9017522801590512,0.7582857694495638,4.273359906661166
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.5338558747798273,0.09907200854440777,3.9304014154417644e-08,0.34128523427979507,0.7304802667650799,1.7054958247761274,1.4067544382308652,2.076077439278235
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-1.8550843297412722,0.12745977166496103,0.0,-2.100799264117785,-1.5876320704031517,0.15643974959506998,0.12235859232746787,0.20440906539200943
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.6626544113531011,0.4265344865598567,0.142673605217168,-0.24342403871609333,1.4550310644193414,1.939934891351642,0.7839390227852957,4.284616562660434
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.001024989064043973,0.002299904979260551,0.6698165601321362,-0.004315724252142219,0.005222413676426595,1.0010255145448568,0.9956935751031405,1.0052360742487643
B) is_cancer + dyslip,(Intercept),-1.7333452603897328,0.11119249758013819,0.0,-1.957013993399201,-1.5205669339904275,0.17669233832454448,0.14127965368461545,0.21858792689129722
B) is_cancer + dyslip,is_cancer,0.6623519798180427,0.42680579346030834,0.14288077486206519,-0.24386313392865927,1.4545254689354608,1.9393482825735051,0.783594874475914,4.282450827415308
B) is_cancer + dyslip,dyslip,-0.15248676533243816,0.15676802120136044,0.3308198937677824,-0.4605694416692414,0.15497731230838446,0.8585702567731298,0.6309242686258603,1.167631469941904
B) is_cancer + kilip,(Intercept),-2.426200032056825,0.1410195371122531,0.0,-2.7065419839808276,-2.1531737707832925,0.08837200614508248,0.06676729033685572,0.11611504979872193
B) is_cancer + kilip,is_cancer,0.6737135602172468,0.43704414363333394,0.1446361916519029,-0.25120788608979644,1.488423094460874,1.9615079902841612,0.7778606483409459,4.430104152313293
B) is_cancer + kilip,kilip,0.4069928992451621,0.07151253821378421,6.783033090762558e-08,0.26462646296366965,0.5455861536555701,1.5022934382066777,1.3029441869571023,1.7256195642092045
B) is_cancer + did_vf_occur,(Intercept),-1.9419492958130444,0.08664424987405653,0.0,-2.115486826511755,-1.7756054383848987,0.1434241011126119,0.12057457636233215,0.16938086876982716
B) is_cancer + did_vf_occur,is_cancer,0.745145390906897,0.4306294181338191,0.10445270417945096,-0.16812966358129705,1.5450932551035035,2.106747714675886,0.8452442301849998,4.688408824686452
B) is_cancer + did_vf_occur,did_vf_occur,1.2970050187312607,0.23655262170271324,2.8928048967369335e-07,0.8240093329129954,1.7542860706622043,3.658323633049039,2.279621300532118,5.779320242486978
B) is_cancer + thrombectomy,(Intercept),-1.7844709296599084,0.1074294952107371,0.0,-2.0004928338005072,-1.5788545030744898,0.16788586093695063,0.13526860186739845,0.2062111772346957
B) is_cancer + thrombectomy,is_cancer,0.67776271975799,0.42708256052932164,0.1345237977689797,-0.22882434301118978,1.4705815331966057,1.969466550944338,0.795468250791204,4.351765101233727
B) is_cancer + thrombectomy,thrombectomy,-0.05686539369119026,0.15732009373444894,0.7177240124466415,-0.366662195402823,0.2510517518698771,0.9447212262453915,0.693043718860836,1.285376603252656
B) is_cancer + is_rcv,(Intercept),-1.8084260057834514,0.09625758441033773,0.0,-2.001481118259949,-1.6237892064529296,0.16391193029705767,0.13513498404740543,0.19715023898647324
B) is_cancer + is_rcv,is_cancer,0.6696599473895039,0.4266507788564061,0.13864154301222764,-0.23622017682196728,1.461463756444165,1.9535728901105982,0.789606801675988,4.312267019542385
B) is_cancer + is_rcv,is_rcv,-0.007310025480254129,0.16814112285918056,0.9653247980988429,-0.34221636243174897,0.3181906176669525,0.9927166277711479,0.7101945286696781,1.374638266594624
B) is_cancer + is_smoker,(Intercept),-1.7189883906333514,0.11836868123993262,0.0,-1.957459909446668,-1.4927642022283798,0.17924738455885944,0.1412166688638717,0.2247505401652548
B) is_cancer + is_smoker,is_cancer,0.6519721927779787,0.4271104363758751,0.14911238599237442,-0.2547942627200417,1.4447684684683926,1.9193223725435133,0.7750759435749573,4.240870133984347
B) is_cancer + is_smoker,is_smoker,-0.161379404473168,0.1576759662329567,0.3072731444869411,-0.4699298942590846,0.1491941919476083,0.8509691483504435,0.6250460860657137,1.1608984044435997
B) is_cancer + hta,(Intercept),-1.9972032017639563,0.11808858116365274,0.0,-2.235720402072342,-1.7721059224963407,0.13571431851357,0.10691508025772038,0.16997465819307325
B) is_cancer + hta,is_cancer,0.644149073046953,0.42783655862644504,0.15436633242649422,-0.263934607916005,1.4386413990095333,1.904365863381254,0.7680237606889284,4.214965468988783
B) is_cancer + hta,hta,0.35957526474126966,0.15790763350165535,0.02228378990457225,0.051099447275847934,0.6711582266270083,1.4327207582886408,1.0524275491320367,1.9565020816362613
B) is_cancer + is_diabetic,(Intercept),-1.8656700889926334,0.08897273532172321,0.0,-2.043872205403854,-1.6948262362321764,0.15479245040758685,0.12952618656808426,0.1836311346934673
B) is_cancer + is_diabetic,is_cancer,0.6720921633632325,0.42706279849384343,0.1375938914797047,-0.23445710715795884,1.4648158056212186,1.9583301843380576,0.7910001614087272,4.32674620456898
B) is_cancer + is_diabetic,is_diabetic,0.29656863339031625,0.19588233140246744,0.13788747806114943,-0.09792075763121971,0.6720056194429923,1.3452348848598508,0.9067207516073659,1.9581607101003684
B) is_cancer + is_male,(Intercept),-1.6877326991424475,0.15403310531491682,0.0,-2.000678775120025,-1.3954150272746455,0.18493835990205748,0.13524345218333308,0.24773020023895329
B) is_cancer + is_male,is_cancer,0.6715764596469959,0.4267269851057584,0.1376374036928656,-0.2344226476124336,1.4635743965277555,1.9573205265488895,0.7910274193844458,4.32137827507314
B) is_cancer + is_male,is_male,-0.16416809745155314,0.17841906367865848,0.3620674054882935,-0.5080310082593801,0.19292550289118174,0.8485993624999777,0.601679114450801,1.2127924406232236
B) is_cancer + age,(Intercept),-3.6418964859488163,0.4231444291444261,0.0,-4.4856862259326205,-2.823533386406834,0.026202603944767085,0.011269151682654509,0.05939570352807014
B) is_cancer + age,is_cancer,0.4324483677541525,0.43159225420730724,0.33361765315006564,-0.48212508446021024,1.2346640576624774,1.5410259066100866,0.6174698210547117,3.4372236177888458
B) is_cancer + age,age,0.028543299980695047,0.006318440193771559,5.433215573780181e-06,0.01620127318119972,0.0410225677963526,1.0289545635826896,1.0163332254426363,1.0418756181169395
B) is_cancer + bmi,(Intercept),-0.4352047841065597,0.5284079896225913,0.4144223577908005,-1.4625927139513208,0.6170202992000294,0.6471321311325702,0.2316349323914594,1.8533972366374751
