model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-2.4276088339822586,0.1015634928334965,0.0,-2.6324106251142063,-2.233883366652139,0.08824759514847341,0.07190491734737751,0.10711166756074181
A) is_cancer alone,is_cancer,0.3661857978051008,0.5765353980062464,0.5434876527483619,-0.9576051756511403,1.3714835831454224,1.4422231796639382,0.3838109460389775,3.941193448466866
B) is_cancer + nb_vessels_disease,(Intercept),-3.1415392454128455,0.2813057631790048,0.0,-3.7142130048172675,-2.606837822347854,0.043216226301999,0.02437461627424382,0.0737674410912999
B) is_cancer + nb_vessels_disease,is_cancer,0.33791811549272815,0.5780002169610284,0.5751648487077148,-0.9895589823827865,1.349283182720732,1.4020256945216718,0.3717405990294351,3.8546614522110465
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.3542904770875634,0.12341671899747426,0.003879423236527235,0.11340921997986585,0.5994470248284286,1.4251691053310087,1.1200902024657704,1.8211114924680432
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-2.530172560642112,0.15086820142240687,0.0,-2.822787060831727,-2.20936307839989,0.07964527546014954,0.059440048606539335,0.10977054148390486
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.3407621687449753,0.5748461597439268,0.5709678108718832,-0.9834820284705537,1.347884801157528,1.4060188058770093,0.37400652751525976,3.8492749317870714
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.0024353247535035035,0.0025029618704515773,0.38159421184296893,-0.0037819535874109916,0.006935045929146866,1.0024382925655373,0.9962251889919194,1.0069591490466931
B) is_cancer + dyslip,(Intercept),-2.319940901455569,0.13933553064522347,0.0,-2.6038181504145745,-2.0562257909358905,0.09827939360184715,0.07399053122273831,0.12793591673522423
B) is_cancer + dyslip,is_cancer,0.354443369620691,0.5758365711560061,0.5560202488258823,-0.9695969816237824,1.3600529623589575,1.4253870197039737,0.37923584632405904,3.8963996588479617
B) is_cancer + dyslip,dyslip,-0.20702770690185818,0.19986032439790394,0.3005405143433747,-0.6015165519944233,0.18504859796525525,0.8129971240439835,0.547979965507987,1.2032769155165242
B) is_cancer + kilip,(Intercept),-3.209619881921087,0.18054933847304172,0.0,-3.5724567704845187,-2.8630635181812165,0.04037195646626757,0.02808676611091201,0.05709358484073151
B) is_cancer + kilip,is_cancer,0.32454500724203195,0.5891297600260603,0.5963724047257151,-1.021111632847299,1.3620655020463863,1.3834010652982112,0.36019431370903604,3.9042492139206026
B) is_cancer + kilip,kilip,0.49832077205927683,0.0828695288713166,2.5082021015698786e-08,0.3323205425138027,0.6584487324522962,1.645955015112766,1.3941996771641623,1.9317932806109555
B) is_cancer + did_vf_occur,(Intercept),-2.6123153626053788,0.11366258844858151,0.0,-2.8425046848816398,-2.396369743951014,0.07336448158400341,0.05827951119448905,0.09104788118712961
B) is_cancer + did_vf_occur,is_cancer,0.46171000424913883,0.5828654448374242,0.45360910465705184,-0.873322053035514,1.48265217370534,1.586785075567344,0.41756207920616534,4.404611999656142
B) is_cancer + did_vf_occur,did_vf_occur,1.5521872378201342,0.26451817188746796,1.0813688311461789e-07,1.0181661468979764,2.0594265553646363,4.721786566442196,2.768113792445526,7.841471870804396
B) is_cancer + thrombectomy,(Intercept),-2.4069496178600582,0.13700177569738198,0.0,-2.68609277944589,-2.1477211136578807,0.09008968382598181,0.06814668399665773,0.11674991462954161
B) is_cancer + thrombectomy,is_cancer,0.37033211788902254,0.5760710650354306,0.5393439304745034,-0.9539541348601134,1.3765273565714387,1.4482155130804746,0.3852148166940444,3.961122150930733
B) is_cancer + thrombectomy,thrombectomy,-0.035502927423080824,0.20024868757828773,0.8594333551037278,-0.43113539476428087,0.3569420725636271,0.9651199089115678,0.6497709292369636,1.4289530918670328
B) is_cancer + is_smoker,(Intercept),-2.3161184680073026,0.14885325929737628,0.0,-2.6202010794588184,-2.0349903831053675,0.09865577893889678,0.07278822513889639,0.1306817392504988
B) is_cancer + is_smoker,is_cancer,0.34358086388245407,0.5761465677141273,0.5678659549089144,-0.9809403530917926,1.3499101340573576,1.4099875349393507,0.3749583397842446,3.8570788950910866
B) is_cancer + is_smoker,is_smoker,-0.19044769822808466,0.20040620282671673,0.3438866677775272,-0.5832427530472278,0.2054813972167916,0.826588988667272,0.5580856950425571,1.2281161343711622
B) is_cancer + hta,(Intercept),-2.551949493365212,0.14809602948727707,0.0,-2.8549876229870645,-2.2727564706645897,0.07792959459060476,0.057556533494441085,0.10302779521874043
B) is_cancer + hta,is_cancer,0.34569059469770186,0.5761012154343423,0.565557183507431,-0.9787433793882357,1.3518997845373832,1.41296536920076,0.37578301896420996,3.864760773558598
B) is_cancer + hta,hta,0.2508305247467537,0.20039019184054477,0.210326440390615,-0.14148327637410035,0.6471699956753061,1.2850922745363598,0.8680696927362979,1.910127503663644
B) is_cancer + is_diabetic,(Intercept),-2.460151087724393,0.11261800861604049,0.0,-2.688008749089379,-2.2458837598162695,0.08542204377008004,0.06801624202015302,0.10583396722411194
B) is_cancer + is_diabetic,is_cancer,0.36623940182788395,0.5756216508288307,0.5433503789979505,-0.95735068164584,1.3712247613574902,1.4423004907001922,0.3839086360541474,3.9401735137283067
B) is_cancer + is_diabetic,is_diabetic,0.2018185787534823,0.25213974820626534,0.43194481927180395,-0.315705889979031,0.6787032877848372,1.2236259962196243,0.7292739053929698,1.971319839647522
B) is_cancer + is_male,(Intercept),-2.2895027677039534,0.19369192542540956,0.0,-2.690397515240934,-1.9276021071383922,0.10131682732985646,0.06785396102629926,0.14549666593948452
B) is_cancer + is_male,is_cancer,0.36679309983257796,0.5756222157338327,0.5427778573968491,-0.9568213579938523,1.3718148147963856,1.4430993107361834,0.38411190176734206,3.9424991127062903
B) is_cancer + is_male,is_male,-0.17941961718128505,0.22541274642599105,0.4320823120644983,-0.6110072789515514,0.2769360830164028,0.8357551285961491,0.5428038387331002,1.3190820565942505
B) is_cancer + age,(Intercept),-4.461716296708942,0.5440942109165078,0.0,-5.554836689483086,-3.413105056723684,0.011542535861151025,0.0038687002174320924,0.03293876469110883
B) is_cancer + age,is_cancer,0.10482305597186792,0.5809559435659575,0.8586892600414918,-1.226317557588519,1.12175535277332,1.1105140941329186,0.2933709124998557,3.07023882819408
B) is_cancer + age,age,0.03153653230935873,0.008010810984715596,7.710183151821148e-05,0.015866823140968853,0.047404748451340406,1.0320390776778257,1.0159933695900687,1.04854632070359
B) is_cancer + bmi,(Intercept),0.055703795484086764,0.7033989347175049,0.9373049932874136,-1.3161685050108534,1.460798872295747,1.0572844649173736,0.2681607928638281,4.30940081451008
B) is_cancer + bmi,is_cancer,0.3584267171425598,0.5790300700022087,0.5537419572538611,-0.9704353398484378,1.3724494540255,1.4310761549354942,0.3789180440678906,3.9450019714261204
B) is_cancer + bmi,bmi,-0.09455851210341358,0.027165785514902684,0.0002904321061628634,-0.14949076030511702,-0.04223042917454028,0.9097745002489759,0.861146394712879,0.9586488544553445
B) is_cancer + lvef,(Intercept),-1.2369933307767957,0.3845074495550999,0.0010999561743340047,-2.0045125075138595,-0.48914654275319697,0.2902556098980484,0.1347259575813765,0.6131494677988489
B) is_cancer + lvef,is_cancer,0.26822164287438083,0.5788681414288277,0.6541200442027746,-1.0604763336958767,1.2811195561705038,1.3076369363073177,0.34629082105156095,3.600668620633466
B) is_cancer + lvef,lvef,-0.02564036529832254,0.008295924806456082,0.0018934905411179814,-0.04211525394287747,-0.009412236392140184,0.9746855573344353,0.9587592734178825,0.9906319200592307
B) is_cancer + atcd_mi,(Intercept),-2.4703754199434877,0.10900455461678812,0.0,-2.690698629579938,-2.2628328344561295,0.08455311011853324,0.06783353230152132,0.10405529541471134
B) is_cancer + atcd_mi,is_cancer,0.3673472650624033,0.5759760859372361,0.5423490594732792,-0.956634847976943,1.3730404548432193,1.443899247825567,0.3841835491659068,3.9473341599119065
B) is_cancer + atcd_mi,atcd_mi,0.3890586125523346,0.289703898376615,0.19632432380406617,-0.21372853734186978,0.930696627109246,1.4755910369553367,0.8075675797115572,2.536275400547576
B) is_cancer + atcd_cabg,(Intercept),-2.4685243318300762,0.10412966002107404,0.0,-2.678685579243843,-2.2700535431338538,0.08470977032681697,0.06865333424151143,0.1033066485733018
B) is_cancer + atcd_cabg,is_cancer,0.33150214359127506,0.5798350916557634,0.5831802349539552,-0.9991383958770299,1.345509320563614,1.393059132424535,0.3681965442037345,3.840141905843653
B) is_cancer + atcd_cabg,atcd_cabg,1.410341939277727,0.46673528697752686,0.007326726107880099,0.4175838676119356,2.2792034160099752,4.097356211585552,1.5182887338093138,9.768895563492597
B) is_cancer + atcd_pci,(Intercept),-2.4595684853860966,0.11017955337285586,0.0,-2.6823332810356497,-2.249824930773059,0.08547182535254762,0.06840336353764748,0.10541767833792559
B) is_cancer + atcd_pci,is_cancer,0.3652837841083665,0.575660706175337,0.5443768827055906,-0.9583564285006061,1.3703582008752593,1.4409228611428564,0.38352271525276527,3.936760594032417
B) is_cancer + atcd_pci,atcd_pci,0.249997223133425,0.27393196385859764,0.37324813712762095,-0.3173948144228381,0.7641061569562829,1.284021851125431,0.7280432563970384,2.14707436920204
B) is_cancer + atcd_hf,(Intercept),-2.440143042982992,0.10334037356881419,0.0,-2.6486495648267177,-2.243103322385918,0.0871483846054575,0.07074668739502173,0.10612864141972637
B) is_cancer + atcd_hf,is_cancer,0.3614953836983975,0.575563449932667,0.548319890705675,-0.9619877625231487,1.3664227570093368,1.4354743953862754,0.3821325417881862,3.9212981394685165
B) is_cancer + atcd_hf,atcd_hf,0.5182717625085036,0.5141569147049552,0.34302885373675907,-0.6340387943829123,1.4319385493029668,1.6791232169506412,0.5304451101720907,4.186807663125371
B) is_cancer + atcd_stroke,(Intercept),-2.4451241447840006,0.10297213657865037,0.0,-2.65286561852125,-2.24874393862239,0.08671536897272734,0.07044904344458015,0.10553169563554965
B) is_cancer + atcd_stroke,is_cancer,0.2796419671796547,0.5802177191967233,0.6424788151217662,-1.0546713308501554,1.297267838992411,1.3226561732332744,0.3483068862237898,3.6592852409811383
B) is_cancer + atcd_stroke,atcd_stroke,0.8565180585879405,0.529501545739512,0.14005924120005242,-0.3200203619955766,1.812574245892626,2.354946615391649,0.7261342513807437,6.126197489998265
C) is_cancer + all,(Intercept),-2.135794550205364,1.1853874230016412,0.07797593520023749,-4.544952058115448,0.2380423734679077,0.11815067642768291,0.010620681879551582,1.2687629535721838
C) is_cancer + all,is_cancer,0.07656329159460351,0.5971077389458914,0.901773096049615,-1.3172829904762267,1.160203221696019,1.0795705159143645,0.26786209803423827,3.190581605641826
C) is_cancer + all,nb_vessels_disease,0.19286161787579045,0.13257234176753588,0.15502329771499224,-0.0727934315396941,0.46161325495486205,1.212714963834317,0.9297928760725954,1.5866315626573666
C) is_cancer + all,fmc_to_diagnosis_minutes,0.0033070029484156115,0.0025904382683736822,0.2756599352399052,-0.0033432892083850507,0.008004889297605977,1.0033124771153648,0.9966622933598674,1.0080370140851844
C) is_cancer + all,dyslip,-0.1207947404004131,0.21080549732768816,0.5752787740756361,-0.5457275985808553,0.3018595065644708,0.8862158452348905,0.5794200447279811,1.352371214084054
C) is_cancer + all,kilip,0.2899192544635221,0.0949477039538682,0.003806229628532831,0.0958542541195122,0.4764091165780543,1.3363195818275182,1.10059864458551,1.6102816741434876
C) is_cancer + all,did_vf_occur,1.1843757940344373,0.29936113431829564,0.00020774193504058402,0.5748900068420207,1.7684589222581568,3.2686458762918504,1.77693506546515,5.8618128877672815
C) is_cancer + all,thrombectomy,-0.05343961461837529,0.20853750807903668,0.8022969819852105,-0.4747946100448765,0.3643081098550249,0.9479631823940492,0.6220127985268785,1.4395176754194248
C) is_cancer + all,is_smoker,0.1068047715540822,0.21837156537619432,0.6325539682164579,-0.3295517015433104,0.5493300145197365,1.112716999262304,0.7192460980844905,1.732092152436717
C) is_cancer + all,hta,0.07400605018314338,0.22274492486932765,0.7454122447676352,-0.37316395202212777,0.5222711049802812,1.0768133203943113,0.6885523340417083,1.6858520522370843
C) is_cancer + all,is_diabetic,0.2488221812317337,0.2727409527737001,0.37969474027484384,-0.3175057015416202,0.7812054033630828,1.2825139577401254,0.7279625302538152,2.184103404977106
C) is_cancer + all,is_male,0.15554060300686476,0.24856507651162077,0.5380792482635417,-0.33216710989751974,0.6685357571988972,1.168289371165599,0.7173674336390656,1.95137793663465
C) is_cancer + all,age,0.019811960636939782,0.009538387492288648,0.042179549964643015,0.0006992557150294497,0.03907921904181177,1.020009520052002,1.0006995002513015,1.0398528565342842
C) is_cancer + all,bmi,-0.09010211568713346,0.02874894803929413,0.0015444494117599072,-0.14970461872571142,-0.03341093413835979,0.9138378633251499,0.8609622509960492,0.9671410466461307
C) is_cancer + all,lvef,-0.010566935263604308,0.008615820934249709,0.23054356835357714,-0.028019732826968145,0.0066809864169254446,0.9894886986643535,0.9723691790191742,1.0067033539914187
C) is_cancer + all,atcd_mi,0.2121506645168576,0.4293886238251099,0.6337417514297712,-0.6688799147112569,1.0801310830924313,1.2363341427332308,0.5122820561490268,2.9450655740672884
C) is_cancer + all,atcd_cabg,0.7051360302485837,0.5341117431481289,0.21247189726889115,-0.4304897037297003,1.7332815124759329,2.024122008015703,0.6501906159799054,5.659194188043371
C) is_cancer + all,atcd_pci,-0.09567715534012294,0.38511262774058114,0.8093273811213808,-0.9125700372651611,0.6546457174246892,0.9087573561740798,0.40149104999431473,1.9244605937314316
C) is_cancer + all,atcd_hf,-0.09526414112930864,0.556345140613093,0.866903924742567,-1.3518247335928837,0.9355540543342775,0.9091327633952839,0.25876764756128545,2.548625143434774
