model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.3999620510541626,0.15973547075653016,0.0,-3.729178856426843,-3.1013744952141615,0.03337453646477132,0.024012545490778706,0.04498732501528797
A) is_cancer alone,is_cancer,0.42103689581655235,0.8521035103604183,0.6410511030675392,-1.7836431418808316,1.796309434441961,1.5235404896421838,0.16802489233722198,6.027361992135236
B) is_cancer + nb_vessels_disease,(Intercept),-5.071766968111186,0.5286652594622443,0.0,-6.203735066970589,-4.100767520928483,0.006271329106388994,0.002021864715363531,0.016559960406686045
B) is_cancer + nb_vessels_disease,is_cancer,0.347045043016861,0.8551160680062219,0.700024740463937,-1.8664525522530167,1.7438882528736355,1.4148804544193083,0.15467137837554387,5.719539258153841
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.7771547127206616,0.21086359065815613,0.00010882291873315353,0.37461459194613783,1.2141205115091118,2.1752741720706132,1.4544307572565784,3.367331232560324
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.275135774541761,0.3131175321821534,0.0,-3.85365825872137,-2.3741358222186935,0.03781173500979067,0.021202031875319837,0.09309490500734674
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,0.47240156275909795,0.8369295369296438,0.6033974275845717,-1.7326148505527046,1.846075353792467,1.6038412973685785,0.17682144329061308,6.334908396684968
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,-0.0027589637393775684,0.006622382096239128,0.7589677764056353,-0.025260556910022845,0.006913960397577213,0.9972448387033424,0.9750558213953125,1.0069379170016117
B) is_cancer + dyslip,(Intercept),-3.746281250703296,0.26607065206316155,0.0,-4.316653679537314,-3.262387627855275,0.02360536527321951,0.013344463763145324,0.038296850143743864
B) is_cancer + dyslip,is_cancer,0.4471859389376498,0.8492225945060597,0.6222068946450671,-1.75924147091298,1.8272142854840498,1.5639050630994409,0.17217541436346429,6.216544995644855
B) is_cancer + dyslip,dyslip,0.6138292586698929,0.32753081176521787,0.05638051954898449,-0.01641733778140131,1.2850314374116638,1.8474923972384645,0.9837166922341287,3.6147815948082735
B) is_cancer + kilip,(Intercept),-3.605910425545271,0.2775170475755959,0.0,-4.164430343647741,-3.064177627971724,0.027162703932858457,0.01553856402108681,0.04669222445925558
B) is_cancer + kilip,is_cancer,0.4284323937559247,0.848713407491031,0.6358394725766943,-1.7773327541797201,1.8063738040207358,1.5348495968891496,0.16908854705849646,6.088329877849587
B) is_cancer + kilip,kilip,0.15358224446531327,0.15173454333182992,0.33598279321742575,-0.17574669845043167,0.43171704030479346,1.1660036805279657,0.8388304334775881,1.5398993240649907
B) is_cancer + did_vf_occur,(Intercept),-3.460860855959732,0.17009392401687914,0.0,-3.8127389386543173,-3.1437657209893155,0.03140271716295391,0.022087599453212686,0.04312011346577577
B) is_cancer + did_vf_occur,is_cancer,0.45120648867572494,0.8508321532328155,0.6189557624291624,-1.7541015765551327,1.8285743852442724,1.570205478270455,0.17306265601519133,6.225005869514812
B) is_cancer + did_vf_occur,did_vf_occur,0.7514208559268424,0.4702500988289386,0.14233473167902866,-0.28466059003596034,1.5980517030405448,2.1200101065790835,0.752269538770991,4.9433918407919695
B) is_cancer + thrombectomy,(Intercept),-3.4131848918686414,0.21941430821034213,0.0,-3.875194659462174,-3.008879450389845,0.03293613512502229,0.020750298238640826,0.04934694348953372
B) is_cancer + thrombectomy,is_cancer,0.4131975790443986,0.84866388779077,0.6470940983760729,-1.7921085920887427,1.789929013105049,1.511643665541467,0.16660848967926775,5.989027308840553
B) is_cancer + thrombectomy,thrombectomy,0.05161444621430207,0.31243387603333284,0.8694410635915597,-0.569492918485055,0.6699365560284154,1.0529696877910741,0.5658122789152721,1.9541133399918533
B) is_cancer + is_rcv,(Intercept),-3.414897474989115,0.19534909261539393,0.0,-3.8226374536533303,-3.052686672984311,0.032879777528262454,0.02187004353534298,0.04723185721881589
B) is_cancer + is_rcv,is_cancer,0.4240843253588495,0.8482713412060944,0.6387282949404478,-1.7804192263811878,1.7989449310473615,1.528190453559294,0.1685674645254564,6.043268035159489
B) is_cancer + is_rcv,is_rcv,0.07820616565247113,0.32853049233732284,0.8133754639206294,-0.5943115797588144,0.7099078392002837,1.0813455720061562,0.5519424034313859,2.0338038130234395
B) is_cancer + is_smoker,(Intercept),-3.269472084766454,0.23215086438642576,0.0,-3.759993185090329,-2.842538755784803,0.03802649654402303,0.023283899052025145,0.058277525592732554
B) is_cancer + is_smoker,is_cancer,0.394144591851565,0.8486782356208746,0.6615667116426149,-1.8113785235076962,1.7711566177242868,1.483114979512875,0.1634286911547542,5.877647622861263
B) is_cancer + is_smoker,is_smoker,-0.21074691660217493,0.313211134125698,0.5045006623448463,-0.8278834003950747,0.4148629121958719,0.809979033189284,0.4369732055072541,1.5141631531617554
B) is_cancer + hta,(Intercept),-3.716102063574119,0.256996456457049,0.0,-4.265175470612752,-3.247865718965708,0.024328614655486327,0.014049401659625285,0.0388570512622512
B) is_cancer + hta,is_cancer,0.3751500816553313,0.8496624859331502,0.6763976632461112,-1.8313676109664403,1.7545339330764342,1.4552097985254993,0.16019433436789407,5.780752896298071
B) is_cancer + hta,hta,0.5871010357688344,0.32315708501759305,0.06562822838951277,-0.03750857991235714,1.245366659199643,1.7987662905419903,0.9631861536325874,3.4742084163081843
B) is_cancer + is_diabetic,(Intercept),-3.403503279157267,0.17463750927633984,0.0,-3.765396456803609,-3.0780425529897406,0.03325655863480743,0.023158429098289815,0.04604930756476025
B) is_cancer + is_diabetic,is_cancer,0.4202058933962242,0.8475374552051923,0.6415183539394527,-1.783912732538942,1.7940820821756622,1.522274949714023,0.1679796005013201,6.013951873815042
B) is_cancer + is_diabetic,is_diabetic,0.08706553292832517,0.4077432596230443,0.8331772072943908,-0.7931170465167654,0.8361665008612974,1.0909681717147142,0.4524323424283066,2.3075041845775752
B) is_cancer + is_male,(Intercept),-3.5560146251170854,0.34714664248089916,0.0,-4.321460594990074,-2.9379985094600625,0.028552390242186042,0.013280471978840334,0.052971644954100956
B) is_cancer + is_male,is_cancer,0.4191966060742499,0.8477138283873467,0.642362325262549,-1.7852513824467318,1.7938320033321424,1.52073931198692,0.16775488506580416,6.012448099724335
B) is_cancer + is_male,is_male,0.21492780272079107,0.387580328162786,0.5736286662381733,-0.5029690382510894,1.043613753318408,1.2397723855417857,0.6047325176806382,2.83945960267276
B) is_cancer + age,(Intercept),-4.353217854385036,0.8154384729070603,2.273109545036789e-08,-6.013475265384392,-2.778434731089008,0.012865347087759549,0.002445574375145414,0.06213569036315155
B) is_cancer + age,is_cancer,0.2823225592261095,0.8560316454904702,0.7514910608925264,-1.9292014510197646,1.6748587734588167,1.3262064311220814,0.145264152720913,5.338041222738644
B) is_cancer + age,age,0.015148384631670267,0.012333917353515416,0.22461688570853466,-0.009355555245489004,0.03960183793788477,1.0152637029698477,0.9906880718037265,1.040396445318757
B) is_cancer + bmi,(Intercept),-2.759082205365197,1.025741495766284,0.010527939266040454,-4.765392561567895,-0.6542391378792919,0.06334988387004076,0.008519543140651405,0.5198374367699189
B) is_cancer + bmi,is_cancer,0.415151431005777,0.8483232911831148,0.6453864686143032,-1.7892668979149058,1.789721881976754,1.5146000807405893,0.16708261339194247,5.987786923322345
B) is_cancer + bmi,bmi,-0.02359116890690194,0.03825933361550461,0.5432192496809973,-0.10396709323493993,0.04940530812309291,0.9766849273125198,0.9012549543182868,1.0506460998531792
B) is_cancer + lvef,(Intercept),-3.071718387671207,0.6166221515841438,1.1010150091639304e-07,-4.335954993667367,-1.8822819040913112,0.04634145381549713,0.013089367838858975,0.15224230674317807
B) is_cancer + lvef,is_cancer,0.3931873233171007,0.8493764856447122,0.6624454526978809,-1.812894383653349,1.771659336442869,1.4816959195290949,0.16318114378617346,5.88060316918449
B) is_cancer + lvef,lvef,-0.006674011944620322,0.012680306498987447,0.603615446182754,-0.032058613350654776,0.018447965675075707,0.9933482098095314,0.9684498163269224,1.0186191806291403
B) is_cancer + atcd_mi,(Intercept),-3.4812548789853603,0.1744331126475813,0.0,-3.8427372087062834,-3.156288229584338,0.03076877570645224,0.021434849317322084,0.04258350830784702
B) is_cancer + atcd_mi,is_cancer,0.4195658797382617,0.8489866267497767,0.6423177831855773,-1.7857194360418183,1.796421722868792,1.5213009846637453,0.16767638516127015,6.028038833131268
B) is_cancer + atcd_mi,atcd_mi,0.6861725169572765,0.4118177156936315,0.12136612012708348,-0.20010733681175918,1.4440122365584527,1.9860992058276223,0.8186428778454653,4.23766426500611
B) is_cancer + atcd_cabg,(Intercept),-3.458436958042118,0.1651399309498169,0.0,-3.7994628822177745,-3.1501066997728993,0.031478926468168134,0.022382790823043116,0.04284755479875888
B) is_cancer + atcd_cabg,is_cancer,0.3523702700076429,0.8549045393910989,0.6960059042747937,-1.8627697080871124,1.7450402727588,1.4224351112822966,0.15524205917823095,5.726132077913806
B) is_cancer + atcd_cabg,atcd_cabg,1.7863292227556824,0.6020183582508689,0.01382681008848774,0.4246670092467715,2.864921907060893,5.967506823988351,1.529081164990658,17.547682800953417
