model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.664350289703643,0.17764448136980363,0.0,-4.032919402184855,-3.3342757872563893,0.025620811982656724,0.01772251520680202,0.03564038809046166
A) is_cancer alone,is_cancer,-0.44652357445059543,1.4367783741292213,0.7384663923807677,-5.295898633673882,1.553666205021252,0.6398486759264522,0.005012108301841565,4.728775100537137
B) is_cancer + nb_vessels_disease,(Intercept),-5.290882049098128,0.5897416972038179,0.0,-6.570233680830572,-4.213937906243728,0.0050373151402959135,0.0014014698772239183,0.014788019692660697
B) is_cancer + nb_vessels_disease,is_cancer,-0.5282037339106476,1.4311025525494225,0.690184848050332,-5.38078188225215,1.48818775129281,0.5896632109823562,0.004604220563910205,4.429061680241385
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.7585164238719355,0.23578916254180915,0.0007842564610975877,0.308133119898887,1.251377842555211,2.1351062769485893,1.360882137372176,3.4951554151640707
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.5422908503221056,0.35534233261152876,1.1102230246251565e-16,-4.204542744840631,-2.4651944657344154,0.028946937965304502,0.014927610235553532,0.08499231267201812
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,-0.3856621375833551,1.3985507932703372,0.7755352476270978,-5.2372562723727665,1.6121510331579556,0.6800002333955082,0.005314819265517139,5.013584022833515
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,-0.0025913588038164043,0.007531252661889459,0.8432923315646098,-0.029953850263719165,0.008111156622803902,0.9974119958680635,0.9704903203873988,1.0081441411743257
B) is_cancer + dyslip,(Intercept),-3.8886366430650834,0.2843306889224647,0.0,-4.503823165300265,-3.3744296939078096,0.020473239352196426,0.011066606092630545,0.03423763867876553
B) is_cancer + dyslip,is_cancer,-0.42514971107798954,1.4266337716525488,0.7514693594476727,-5.2747254561083325,1.5762777088298725,0.653671915876797,0.005119362004923706,4.836917844199631
B) is_cancer + dyslip,dyslip,0.4187818506969315,0.36036809504855033,0.2426500117144459,-0.2802814730184004,1.157376472574949,1.5201087079620188,0.7555710386612131,3.181575367077884
B) is_cancer + kilip,(Intercept),-3.769096958749503,0.3139860270656117,0.0,-4.400140428699136,-3.1467475505634512,0.023072889653401582,0.012275615933247254,0.04299172814290584
B) is_cancer + kilip,is_cancer,-0.42771659339626866,1.4256289339091586,0.7499232416170811,-5.277316546534278,1.5737401586109556,0.6519961686370657,0.005106114445270024,4.824659481947903
B) is_cancer + kilip,kilip,0.08705429191639465,0.18107765854502125,0.6434740853259808,-0.32043336962143915,0.4126897067075637,1.0909559081974074,0.725834414319282,1.5108761384599707
B) is_cancer + did_vf_occur,(Intercept),-3.72640312965369,0.18945662579894096,0.0,-4.121315952042288,-3.3754629190782732,0.024079290346076067,0.01622315149938087,0.034202281757681245
B) is_cancer + did_vf_occur,is_cancer,-0.416043951135599,1.4318286947330858,0.7569808096072665,-5.265632962429985,1.5856447692578324,0.6596512774245126,0.005166122032065657,4.8824384100391685
B) is_cancer + did_vf_occur,did_vf_occur,0.7815906489038336,0.5173098241688382,0.16788359235627093,-0.3771234189602341,1.706244586169927,2.184944983171127,0.6858314240711761,5.508236878305255
B) is_cancer + thrombectomy,(Intercept),-3.713621766365134,0.24828760517738244,0.0,-4.243106243218285,-3.260221852366146,0.024389031745711748,0.014362907794348342,0.03837988240525861
B) is_cancer + thrombectomy,is_cancer,-0.4652560446845407,1.4279039206173982,0.7272457907345178,-5.315025653138614,1.5368157251569976,0.6279742951229436,0.004917152613331616,4.649760557008501
B) is_cancer + thrombectomy,thrombectomy,0.13227290499962507,0.3501894944543778,0.7076264592648434,-0.5651057172365737,0.8297313737365962,1.141419775929784,0.5683000644693693,2.292702777355803
B) is_cancer + is_smoker,(Intercept),-3.4633162465364515,0.24915286499338454,0.0,-3.994330241733023,-3.007855104271056,0.031325705812312345,0.018419779079617192,0.049397517737916605
B) is_cancer + is_smoker,is_cancer,-0.4885146065721802,1.4278903651005301,0.713189990462567,-5.338416732265542,1.5140450700438697,0.6135370615862925,0.004803469871816862,4.545078821957053
B) is_cancer + is_smoker,is_smoker,-0.3433367768613024,0.3502636898114328,0.33138824406905754,-1.0410201732755187,0.35426386829408546,0.7093992620692474,0.35309428080520894,1.425131183805139
B) is_cancer + hta,(Intercept),-3.8826639470565882,0.27381571109519925,0.0,-4.472458157996941,-3.38633669834958,0.020595885687196336,0.011419211096619041,0.033832388409232445
B) is_cancer + hta,is_cancer,-0.4836462365179122,1.4280225063527963,0.7161073626751221,-5.3334493139386305,1.5184619901937875,0.6165312695865705,0.004827390077739142,4.565198472924784
B) is_cancer + hta,hta,0.4335246146593066,0.35599119712993793,0.2222410642015631,-0.2612700155375561,1.1572217749552425,1.5426853237839606,0.7700729598759439,3.18108322300942
B) is_cancer + is_diabetic,(Intercept),-3.683868697478439,0.19640779528338165,0.0,-4.094562329632233,-3.320426311765564,0.025125583286772526,0.016663037604991146,0.03613742266128336
B) is_cancer + is_diabetic,is_cancer,-0.4465204526179189,1.426577591164128,0.7383830877117414,-5.295633477743939,1.5523271296776822,0.6398506734300747,0.005013437468289707,4.7224471521401234
B) is_cancer + is_diabetic,is_diabetic,0.18704821124612936,0.44074724710454405,0.6789984212421747,-0.7711239624482729,0.9980322514245533,1.2056854112448614,0.4624929513601025,2.7129381924537292
B) is_cancer + is_male,(Intercept),-3.850199173218727,0.3940291490929048,0.0,-4.737427792911304,-3.158353652001257,0.021275498506832323,0.008761152726470248,0.042495646142674495
B) is_cancer + is_male,is_cancer,-0.4489033146682243,1.426771512842469,0.7369958213484056,-5.2981930756676405,1.5507905102888226,0.6383278126466512,0.005000621493024138,4.715196120747755
B) is_cancer + is_male,is_male,0.2565157598752584,0.4393209700026879,0.5525409949764433,-0.5512514157420327,1.2124403875633833,1.2924191340035125,0.5762282578806573,3.3616784487417575
B) is_cancer + age,(Intercept),-5.349940095026593,0.9373198571397316,1.058525711528091e-09,-7.280662255719652,-3.548344420582072,0.004748435445790619,0.0006887292977103902,0.02877223496447506
B) is_cancer + age,is_cancer,-0.6746107859546036,1.4360422297960809,0.6019027955317497,-5.526944129238523,1.3407790668941726,0.5093546300081926,0.0039781271759553255,3.8220199550049143
B) is_cancer + age,age,0.026345923126274918,0.013831035981583816,0.05971074696962586,-0.0010808179159237088,0.054027325251211955,1.026696044957464,0.9989197659573874,1.055513443931037
B) is_cancer + bmi,(Intercept),-3.3735744867741695,1.1216826676749527,0.005115736916174174,-5.558628121297758,-1.0297757410323174,0.03426693147552163,0.0038540600754339727,0.35708703155956334
B) is_cancer + bmi,is_cancer,-0.4515088540518905,1.4284797641439018,0.7353838255027009,-5.300697447451216,1.547675889453786,0.6366667892617351,0.004988113746218011,4.700532919678376
B) is_cancer + bmi,bmi,-0.010302899598644534,0.04147699208104648,0.8101560247191175,-0.099403897534852,0.06810741031143917,0.9897499934649308,0.9053769546449838,1.0704802829245217
B) is_cancer + lvef,(Intercept),-3.559116086185544,0.699899827091055,4.0672683998543846e-08,-5.00801034494345,-2.2091284198610555,0.028463973297168835,0.0066841893156552356,0.10979630310125008
B) is_cancer + lvef,is_cancer,-0.4549824291729014,1.4280900012018554,0.7335333328885139,-5.304936258637293,1.5481732878351964,0.6344591158217144,0.004967014822641024,4.702871538708835
B) is_cancer + lvef,lvef,-0.001896807785322907,0.014226231254899198,0.8959884622059748,-0.030520810065179538,0.026442691839724284,0.998104990017689,0.9699402473374211,1.0267954018200784
B) is_cancer + atcd_mi,(Intercept),-3.80053501572621,0.19988773035131951,0.0,-4.219156125052145,-3.431117072136196,0.02235880634256948,0.014711053557874953,0.032350782423295435
B) is_cancer + atcd_mi,is_cancer,-0.4479628160807982,1.428544246355971,0.7378995191155788,-5.298280255572671,1.5569825047975836,0.6389284414537592,0.0050001855583199336,4.7444831682799045
B) is_cancer + atcd_mi,atcd_mi,0.9585455170706532,0.4225332925437422,0.038697670323397326,0.054487582703383636,1.7459818262740467,2.6079005666958497,1.0559993636749871,5.731526076671287
B) is_cancer + atcd_cabg,(Intercept),-3.711189730729894,0.18309179143958212,0.0,-4.092087749351501,-3.3713032212274054,0.024448418926624516,0.01670432268982637,0.03434484922883375
B) is_cancer + atcd_cabg,is_cancer,-0.4979485741935884,1.423682392943311,0.7079108332885162,-5.349148151387516,1.5096800748582078,0.6077761894794991,0.004752197428479992,4.525282810958516
B) is_cancer + atcd_cabg,atcd_cabg,1.5549930377128114,0.6844090930546017,0.05964194549572199,-0.07686396882166345,2.7482771169717846,4.735053558241935,0.9260158120612356,15.61570466208599
B) is_cancer + atcd_pci,(Intercept),-3.7685428224829094,0.19995700962274207,0.0,-4.1873289221671435,-3.398940215008352,0.023085678721449596,0.015186795858733443,0.03340865719907243
B) is_cancer + atcd_pci,is_cancer,-0.45116682132169916,1.4272620466384134,0.7357450103277043,-5.300820978230107,1.550457538190779,0.6368845873868089,0.004987497598699121,4.713626353361615
B) is_cancer + atcd_pci,atcd_pci,0.6798225068750222,0.4204837709746877,0.13095241754249587,-0.22112517630766645,1.4629923716609803,1.9735274135939245,0.8016163306371925,4.318863857256134
B) is_cancer + atcd_hf,(Intercept),-3.638288542505746,0.17770240304221707,0.0,-4.007079356068906,-3.308005968297476,0.026297312206149528,0.018186433843289326,0.036589060807257046
B) is_cancer + atcd_hf,is_cancer,-0.43913411229026394,1.4234844533651394,0.7429390895788939,-5.288500032051875,1.5610514574576397,0.6445943258113453,0.005049328413057416,4.76382757473569
B) is_cancer + atcd_hf,atcd_hf,-0.5662515045776615,1.4220365767004584,0.6653675945534688,-5.414622765226592,1.4283678608469768,0.5676492863474246,0.004451016574316715,4.17188453610947
B) is_cancer + atcd_stroke,(Intercept),-3.711766719667068,0.1829120487046336,0.0,-4.092537110966875,-3.371978887817258,0.024434316528227633,0.01669681809466353,0.03432165139955794
B) is_cancer + atcd_stroke,is_cancer,-0.6925344179331154,1.4233842272116177,0.597337424221601,-5.558740837734541,1.3630727335684638,0.5003064752021004,0.0038536256839971114,3.9081836779243617
B) is_cancer + atcd_stroke,atcd_stroke,1.5956218603580572,0.6791904023288989,0.054785838272345844,-0.03975936060115413,2.7976811450223793,4.931394757715914,0.9610206707659807,16.406558198082372
C) is_cancer + all,(Intercept),-6.980254280934257,1.9909243417437739,0.0014474807303977988,-11.428915720238066,-2.6501624801270154,0.0009300666749108887,1.0876394925127286e-05,0.07063973457489588
C) is_cancer + all,is_cancer,-0.5603821869402408,1.2258909405487928,0.6677024748686755,-5.399457587215868,1.4509494204830389,0.570990796916507,0.004519031458391971,4.267163925403391
C) is_cancer + all,nb_vessels_disease,0.6311051829673464,0.22456459260214337,0.008423848566155745,0.15802409434940676,1.142348622411262,1.8796868296027778,1.171194413535134,3.1341205938683943
C) is_cancer + all,fmc_to_diagnosis_minutes,-0.0005313672011399196,0.005257460053417389,0.9455963909957256,-0.026599419949979292,0.007671036035354064,0.9994687739494093,0.9737512287244859,1.0077005338102054
C) is_cancer + all,dyslip,0.35518990369312137,0.34377175994940057,0.3415285505303054,-0.37314931388631745,1.117309823958138,1.426451516972885,0.6885624132380567,3.05662028625245
C) is_cancer + all,kilip,-0.06461845916060271,0.18249993665173658,0.7495497744801014,-0.5070039812433593,0.3092417259453145,0.9374250610986816,0.6022973725858771,1.3623916561143437
C) is_cancer + all,did_vf_occur,0.7902920111978349,0.5353627904184252,0.20562745114393632,-0.48264894151924437,1.8563168910659875,2.2040399366372188,0.617146439840373,6.400120965625477
C) is_cancer + all,thrombectomy,0.18519139592421072,0.326490379902586,0.6063416500305447,-0.5254532373757772,0.8943639207899788,1.2034487532728666,0.5912873101165338,2.445779585033805
C) is_cancer + all,is_smoker,-0.19716957992696907,0.3394978873945573,0.598188826763935,-0.9350647368451507,0.541529614952298,0.8210513876719996,0.3925604515837514,1.7186337004528758
