model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.5641008525990086,0.1778783011002119,0.0,-3.933076737756307,-3.2335132444521353,0.028322440087145965,0.01958332700536542,0.03941876746645899
A) is_cancer alone,is_cancer,2.8976219191212245,0.43698730181904427,2.2884247274923553e-08,2.0073648729132287,3.738076036538287,18.130977130977133,7.443676447119526,42.0170730358683
B) is_cancer + nb_vessels_disease,(Intercept),-4.409877533288429,0.4720965917190285,0.0,-5.402140520329948,-3.534547302786699,0.012156667025789542,0.004506923449001269,0.029171960065702055
B) is_cancer + nb_vessels_disease,is_cancer,2.861420391604085,0.4404017317857309,3.664023051630494e-08,1.9631980487578944,3.7108121776671896,17.486346765600732,7.122067402231184,40.8870005541703
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.41676245466014017,0.19983861825006655,0.03515121046490055,0.02878847681737929,0.8202022252813428,1.5170421038478896,1.0292068703363026,2.270959036430088
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.367423713891492,0.29061631770965984,0.0,-3.909320929536595,-2.400758238273265,0.034478349112819995,0.020054114595778154,0.09064919353658865
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,2.966532306808019,0.438810626665509,1.33353776909928e-08,2.0712011951396545,3.816714140126856,19.424444657955927,7.934348096394962,45.454605204722675
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,-0.00462975428430587,0.005789087027331745,0.39398748118489857,-0.029119159864117564,0.004427556500670485,0.9953809465076788,0.9713007175090302,1.0044373726107343
B) is_cancer + dyslip,(Intercept),-3.2200198962224227,0.2073911927198519,0.0,-3.6524176527438525,-2.835718758869576,0.039954263313836086,0.025928367153425776,0.05867633653640293
B) is_cancer + dyslip,is_cancer,2.8672396992616385,0.441899520131086,3.62014758170659e-08,1.9664447196883905,3.720693761362063,17.588401854213554,7.145227988487713,41.293031683545166
B) is_cancer + dyslip,dyslip,-0.8313794730025846,0.3501914712513429,0.013841525094253848,-1.5532753243239212,-0.1655134772499341,0.43544818280161973,0.2115539301049677,0.8474584417187299
B) is_cancer + kilip,(Intercept),-4.284063577942935,0.3051953121001592,0.0,-4.914053749552636,-3.710247086014227,0.013786525485127961,0.007342662603951055,0.024471475965122527
B) is_cancer + kilip,is_cancer,2.9650144220261563,0.4512961808700721,2.0526980559765207e-08,2.0486634574994564,3.8387062117348236,19.3949829544058,7.757525911327168,46.46531924935807
B) is_cancer + kilip,kilip,0.45969155717972254,0.13207826345952653,0.0013253973411010422,0.18883235498969864,0.7120968147436466,1.5835854640912774,1.2078384474199344,2.038260635988768
B) is_cancer + did_vf_occur,(Intercept),-3.54368011693727,0.1821549186764274,0.0,-3.9218968863906447,-3.205322487445993,0.02890675087253488,0.01980349411510964,0.04054582401006923
B) is_cancer + did_vf_occur,is_cancer,2.8837111617946256,0.43612094611621083,2.5573722139959898e-08,1.994239805958259,3.7228759096453015,17.880507657047403,7.346616050817721,41.38323758727712
B) is_cancer + did_vf_occur,did_vf_occur,-0.10204779074819971,0.6738664613707894,0.8784643269356415,-1.717388097702683,1.0420401411448013,0.9029863962421794,0.17953446252436345,2.8349949082455908
B) is_cancer + thrombectomy,(Intercept),-3.435608503967867,0.22260536324811372,0.0,-3.902051918442895,-3.0250693953368692,0.03220580690687996,0.02020041927821936,0.048554451700562856
B) is_cancer + thrombectomy,is_cancer,2.925485807638125,0.43906893850800643,1.9008503437945024e-08,2.0313487870081923,3.772682814674825,18.643280898523816,7.624363068528277,43.496601763980756
B) is_cancer + thrombectomy,thrombectomy,-0.26209963023275684,0.328033205370345,0.42271341782061855,-0.9203319238547596,0.3767313516324889,0.7694343609642018,0.3983867850588815,1.4575126983637101
B) is_cancer + is_rcv,(Intercept),-3.309273049513312,0.19150861111455364,0.0,-3.7073944983985325,-2.953525645582256,0.03654272885497512,0.024541382654472504,0.05215549960932132
B) is_cancer + is_rcv,is_cancer,2.8349886346799735,0.4409560097721362,4.696744493326577e-08,1.9352892512122446,3.6865769846933882,17.030206745546508,6.926047133197308,39.90800716915867
B) is_cancer + is_rcv,is_rcv,-0.983280536735263,0.43670732066880513,0.013707159123677037,-1.933472268871357,-0.18862092091642074,0.3740818943321392,0.14464507890102277,0.8281003627294613
B) is_cancer + is_smoker,(Intercept),-3.5630581105096564,0.26215531161355826,0.0,-4.118165189962523,-3.0834648110826457,0.028351988490502557,0.016274347400638465,0.045800292057425515
B) is_cancer + is_smoker,is_cancer,2.892069544104436,0.43779330224545315,2.5057990238330774e-08,1.999511944003898,3.735627952354155,18.030586108738692,7.385450705684495,41.91433750782518
B) is_cancer + is_smoker,is_smoker,0.019376411726956533,0.32789331861203375,0.9529349429325897,-0.6193408070933544,0.6772360045507839,1.0195653527526842,0.538299163655713,1.968429476107392
B) is_cancer + hta,(Intercept),-3.6006692344742133,0.24317549122804927,0.0,-4.113569607337312,-3.1545978763845457,0.027305442587705366,0.016349309624406446,0.04265555034846674
B) is_cancer + hta,is_cancer,2.879990558344854,0.43626177317784975,2.674550658721131e-08,1.989911065940664,3.719776842654419,17.814104984182187,7.314883191125272,41.255186683345016
B) is_cancer + hta,hta,0.09758282919432787,0.3242698633106233,0.7637055323327293,-0.5408329230327771,0.7411695529111767,1.1025027571965966,0.5822630700201057,2.0983882560028833
B) is_cancer + is_diabetic,(Intercept),-3.509108993282333,0.18651153278752639,0.0,-3.8965114683703113,-3.1625856295397434,0.02992356465952769,0.02031264930802422,0.042316185527201504
B) is_cancer + is_diabetic,is_cancer,2.9029982748289647,0.43616844332522986,2.174634494700456e-08,2.012782146027087,3.744014684613547,18.228718223366766,7.48411029712524,42.26734003406971
B) is_cancer + is_diabetic,is_diabetic,-0.305561998825498,0.4781088333151294,0.5109462308971666,-1.3587286174473674,0.5562654856944992,0.7367092283066796,0.25698729851024205,1.744146781578746
B) is_cancer + is_male,(Intercept),-3.3508140670009685,0.30642407359721807,0.0,-4.007963950213269,-2.7957537709633757,0.03505580470805717,0.018170353343811136,0.06106882507236403
B) is_cancer + is_male,is_cancer,2.8887210591224823,0.43599017626480857,2.4306572310450747e-08,1.9994884793498278,3.7279355043665694,17.970311931843753,7.385277410671696,41.59315058727059
B) is_cancer + is_male,is_male,-0.2747988263331307,0.3552428609483713,0.4473997010639623,-0.9506433442059543,0.4563004601111046,0.7597249445055426,0.38649229587515926,1.5782244670342096
B) is_cancer + age,(Intercept),-7.226792278339785,0.9993727401904913,1.1102230246251565e-16,-9.300036847205009,-5.335014591776988,0.000726848655875447,9.142086281283663e-05,0.0048198397817304384
B) is_cancer + age,is_cancer,2.5684662009626607,0.44615237063291274,5.595841788830214e-07,1.6587727066511961,3.4278749577439838,13.045799453064365,5.252860086524068,30.811098246195346
B) is_cancer + age,age,0.05505926344864626,0.013884639956500477,5.321589316475972e-05,0.028075839268400394,0.08318124160425487,1.0566032307713593,1.02847368015529,1.0867387529754322
B) is_cancer + bmi,(Intercept),-0.9441899742238636,1.136584895390517,0.4157852518064368,-3.183480941074122,1.3446046155720774,0.3889945389217265,0.041441149559753566,3.8366692813804297
B) is_cancer + bmi,is_cancer,2.893114473457423,0.4416884547121568,2.819344779858568e-08,1.9933206091173123,3.7464635906000616,18.0494366444391,7.339866167263243,42.37097562122499
B) is_cancer + bmi,bmi,-0.10004147162346703,0.04425620973088083,0.020556857211033286,-0.19116560317708192,-0.014808945810907661,0.904799893737362,0.8259957892973802,0.9853001673461256
B) is_cancer + lvef,(Intercept),-2.9901593331206384,0.6405242196514046,6.543615896914545e-07,-4.300866068247589,-1.7593565645823792,0.05027942490766056,0.013556812801319275,0.17215559920356646
B) is_cancer + lvef,is_cancer,2.835710545931812,0.4391140040140487,4.38817673309444e-08,1.9400772680988247,3.6811770717813754,17.0425054821813,6.9592886808686245,39.6930882000474
B) is_cancer + lvef,lvef,-0.011887967036568279,0.01328516905787036,0.3751590857106917,-0.038442465183466244,0.014316762496031818,0.9881824156650713,0.9622870681570594,1.0144197381794884
B) is_cancer + atcd_mi,(Intercept),-3.557905636130774,0.18493182972368313,0.0,-3.942006677533777,-3.2144260596762195,0.02849844837617662,0.019409227580200635,0.04017838720391971
B) is_cancer + atcd_mi,is_cancer,2.8886758292487653,0.4352639617857638,2.3849499930506113e-08,2.0005073272674365,3.726485508969428,17.96949915528545,7.3928057196322445,41.532884413762616
B) is_cancer + atcd_mi,atcd_mi,0.060753119076285396,0.5255214813650243,0.9089514487021014,-1.1156471160547874,0.9974025462486429,1.0626365371107256,0.3277031483019629,2.7112303789979357
B) is_cancer + atcd_cabg,(Intercept),-3.5454837889731916,0.17744607136315527,0.0,-3.9139480507040676,-3.2152587293493657,0.02885465956627503,0.019961536128706714,0.04014494580413098
B) is_cancer + atcd_cabg,is_cancer,2.9241004383120495,0.43634359935805844,1.8944340762772072e-08,2.030405924457761,3.7717271609383762,18.617470951312153,7.617177730045662,43.45505392981571
B) is_cancer + atcd_cabg,atcd_cabg,-0.834204783970918,1.4964533773998512,0.5455248334159578,-5.759000084740616,1.408014223217331,0.43421964259589163,0.003154264018829714,4.087829821393777
B) is_cancer + atcd_pci,(Intercept),-3.5772127929899376,0.18927479511979498,0.0,-3.970731916404832,-3.225988113982783,0.027953501974001264,0.018859624413855646,0.03971651773431965
B) is_cancer + atcd_pci,is_cancer,2.8863414110502026,0.43544562107739354,2.4429538059145273e-08,1.9980004603171668,3.7243254257757563,17.92759975382852,7.3742961495121655,41.44326675380233
B) is_cancer + atcd_pci,atcd_pci,0.18295931435796342,0.4504494174708884,0.6907361081839951,-0.7923691018977173,1.0053380626539,1.2007655531695247,0.45277086334597727,2.7328309847762466
B) is_cancer + atcd_hf,(Intercept),-3.646430185020501,0.1866883008494,0.0,-4.034864959894788,-3.3003359417604607,0.0260840781068468,0.01768806855054645,0.03687077888607817
B) is_cancer + atcd_hf,is_cancer,2.912524767716099,0.4426708950487085,2.52154549462702e-08,2.0109215360561823,3.7655371832635347,18.4032037759469,7.4701982333588175,43.18689890914129
B) is_cancer + atcd_hf,atcd_hf,1.6603738320937764,0.5626553890405682,0.011863317327095557,0.4156104216459335,2.679257704629454,5.261277311172985,1.5152954275678647,14.574270865865058
B) is_cancer + atcd_stroke,(Intercept),-3.6103907500337247,0.18187248080962867,0.0,-3.9879401272794226,-3.2725751393384757,0.027041278421219686,0.01853786045107857,0.037908681138417145
B) is_cancer + atcd_stroke,is_cancer,2.7502469454953884,0.44831289588868356,1.700756543376869e-07,1.8322923352807323,3.6101387235549605,15.64649523866735,6.2481932082876845,36.971181232789796
B) is_cancer + atcd_stroke,atcd_stroke,1.545600391567683,0.6214729684213642,0.029288851478265543,0.1727771599592732,2.6853660631812746,4.690787090762185,1.1886012076287327,14.663568190327577
C) is_cancer + all,(Intercept),-6.283822055328777,1.933141309889655,0.0025859584414962278,-10.64024037244459,-2.157410721076146,0.0018662540195001672,2.393328542204583e-05,0.11562411686810974
C) is_cancer + all,is_cancer,2.6018503122703733,0.49417471715925787,3.2716328182136323e-06,1.5699861358757234,3.6158381348008013,13.488673216514982,4.806581554269216,37.1824968140617
C) is_cancer + all,nb_vessels_disease,0.38647673337103006,0.20227963702886823,0.07468125486055799,-0.038098016819249125,0.8286823966282632,1.4717861531656684,0.9626185834552669,2.2902990455763637
C) is_cancer + all,fmc_to_diagnosis_minutes,-0.010501241266933331,0.009030712720777639,0.3394830157997446,-0.036067458609216334,0.005012382209296245,0.9895537042668451,0.9645752223853582,1.0050249652118237
C) is_cancer + all,dyslip,-0.627716367401306,0.33904918229151043,0.08131180782292435,-1.3813334274457665,0.0765119329683574,0.5338094347904133,0.25124331486991397,1.079515072079503
C) is_cancer + all,kilip,0.5082224867729389,0.14330564046092856,0.0023140526552255514,0.18989631088260242,0.8060610238021566,1.6623337470500228,1.2091242181341153,2.2390709464934275
C) is_cancer + all,did_vf_occur,-1.1212792558427076,0.7512473597513701,0.1315734328993733,-3.080457813398679,0.2954942083715589,0.3258626661533123,0.04593822070119375,1.3437903070277015
C) is_cancer + all,thrombectomy,-0.23158431748080988,0.33057112624733775,0.5153512680050453,-0.9502941436152295,0.4624671067155334,0.7932758056656514,0.38662728278057135,1.5879868893523776
C) is_cancer + all,is_rcv,-0.7139479235565808,0.4068510944208992,0.09230578731238048,-1.6762090390322564,0.11017639004332473,0.4897070501232035,0.18708185342798891,1.1164749881627325
C) is_cancer + all,is_smoker,0.5696927075973529,0.3442477967383372,0.12283088084556304,-0.1527750727833598,1.318835048167896,1.7677237598819366,0.8583227602502226,3.7390630108054785
C) is_cancer + all,hta,-0.20430965477154764,0.34028482304368224,0.5787491139224008,-0.931593410895696,0.5193874178616563,0.815209898464746,0.39392552480233445,1.6809975851362684
C) is_cancer + all,is_diabetic,-0.528848066250296,0.48239888962565003,0.2911472872445765,-1.6604584422363258,0.42155999024326646,0.5892833942832509,0.19005183233990378,1.524337653659039
C) is_cancer + all,is_male,0.0021140256192452717,0.3760653219112461,0.9958389904481849,-0.770224623316259,0.8294075436544392,1.0021162617468709,0.4629090764602872,2.2919604514272707
C) is_cancer + all,age,0.04690669002690814,0.015488549492506951,0.004630731892450113,0.014280863033576197,0.08078305998200426,1.0480242134059183,1.0143833217098532,1.0841356786399583
C) is_cancer + all,bmi,-0.05527503861606799,0.043852582993319754,0.24199184402839036,-0.15207282927436266,0.03620681562312135,0.9462248637840015,0.8589257235259771,1.0368702652875923
C) is_cancer + all,lvef,0.008216806095728345,0.013243440116180909,0.5718215148220706,-0.02043008212287969,0.0366006979420858,1.0082506566980278,0.9797771980214851,1.0372787505944379
C) is_cancer + all,atcd_mi,-0.4212679387815833,0.6561083655575103,0.554313529449475,-1.9362585380883575,0.9495591814551084,0.6562142526045656,0.14424261971048458,2.584570081738233
C) is_cancer + all,atcd_cabg,-2.1891356786109437,1.5586553790324895,0.1311180362218739,-7.309851944167487,0.534866807921388,0.11201352247278447,0.000668916081667999,1.7072208388182075
C) is_cancer + all,atcd_pci,0.5525660080518313,0.5411705725028583,0.36776089047887217,-0.7074193826104833,1.64285910783786,1.737706270164231,0.4929145815089514,5.169929788348353
C) is_cancer + all,atcd_hf,1.0116680668062448,0.6253436886638375,0.15347273093707525,-0.41170056038510644,2.257540161341412,2.7501846828024825,0.6625226318745914,9.559545282513223
C) is_cancer + all,atcd_stroke,1.205402120978937,0.6437739205456536,0.10096900257977548,-0.256948834722319,2.473310591017604,3.338101128709639,0.7734077843771681,11.861650996638163
D) nb_vessels_disease + others,(Intercept),-6.258972195615824,1.9004614325350981,0.0019660541984903857,-10.404547487702528,-2.264795356144814,0.0019132111932902876,3.0294405856190156e-05,0.10385128489365238
D) nb_vessels_disease + others,nb_vessels_disease,0.3493622506959736,0.19739624456721339,0.09658519586031511,-0.06225261605810119,0.7754898679843075,1.4181628277749758,0.9396454872678793,2.171655691255265
D) nb_vessels_disease + others,fmc_to_diagnosis_minutes,-0.009069723301919672,0.008404690873581068,0.357100206917939,-0.030797271862328793,0.007034698183494976,0.9909712825741754,0.9696721329769115,1.0070594997959381
D) nb_vessels_disease + others,dyslip,-0.7694398933967959,0.334945405112457,0.027631807489227223,-1.51417880737657,-0.08263344230561177,0.46327247762981333,0.2199887638426496,0.9206885708535136
D) nb_vessels_disease + others,kilip,0.4582324406453712,0.13789166519507634,0.0036031388108207496,0.15679417032776738,0.740455114915452,1.5812765132808662,1.169754818869422,2.096889623106898
D) nb_vessels_disease + others,did_vf_occur,-1.0060778336750213,0.6703764985949435,0.12579617129464715,-2.684173219310779,0.2529777370817106,0.3656503121153736,0.06827762128539205,1.2878546051136313
D) nb_vessels_disease + others,thrombectomy,0.018616882440316642,0.3135520951653104,0.9558422652730812,-0.649006380756822,0.677249460509925,1.018791257019029,0.5225647492784681,1.9684559633922
D) nb_vessels_disease + others,is_rcv,-0.9066967243308411,0.4062955180414367,0.02550449682159217,-1.8596968035601082,-0.10438859727369368,0.4038560710269658,0.15571983691137978,0.9008751517648731
D) nb_vessels_disease + others,is_smoker,0.5921378252622499,0.3381749240269612,0.09950933490324487,-0.1113716272300714,1.3234153760489928,1.8078491527256029,0.8946062271115909,3.756228426970168
D) nb_vessels_disease + others,hta,-0.09932062356668021,0.32817117463405776,0.7784467535177639,-0.7951828891433562,0.5963714096877223,0.9054523521159681,0.45149865316926474,1.8155190588840218
D) nb_vessels_disease + others,is_diabetic,-0.41021413759034697,0.4617240599876121,0.39264046193095326,-1.4908663445109211,0.49305052614424977,0.6635081528856465,0.22517748972902155,1.637303245919261
D) nb_vessels_disease + others,is_male,0.025734061797453803,0.3663587632922254,0.9476091919554243,-0.7216196570098623,0.8252769847257526,1.0260680414962093,0.48596452235786947,2.2825128989889314
D) nb_vessels_disease + others,age,0.050826217950204235,0.014721456725468674,0.0010737715686233162,0.02011047779999027,0.08275688745917109,1.0521400343430232,1.0203140558525328,1.0862776887151677
D) nb_vessels_disease + others,bmi,-0.05249345810255498,0.04291633244955048,0.2540475414954163,-0.14723978193122686,0.036423924805368574,0.9488605283837637,0.8630869999349198,1.0370954037819182
D) nb_vessels_disease + others,lvef,0.0038801005334701626,0.012865374839977186,0.7812628628569712,-0.02376360569866684,0.0310517888913564,1.0038876378689319,0.9765165254168474,1.0315389247605111
D) nb_vessels_disease + others,atcd_mi,-0.2727020164331504,0.612919370605583,0.6815761181063894,-1.666843731698748,1.004546414026975,0.7613196145661669,0.18884216253352762,2.730668398996505
D) nb_vessels_disease + others,atcd_cabg,-1.1851068288783424,1.416045630777422,0.3825664290339388,-6.141172354449546,1.1504640377729831,0.30571351872188657,0.0021523987643063593,3.1596587705753376
D) nb_vessels_disease + others,atcd_pci,0.43672817735902997,0.5163977381792707,0.4486087189505896,-0.7474824300188433,1.473842704162714,1.5476353375509573,0.4735572668183955,4.3659801174339155
D) nb_vessels_disease + others,atcd_hf,0.8787635500026014,0.6051181086102027,0.19328990106284483,-0.48330958071861396,2.080810456968623,2.4079205916242623,0.616738863355788,8.010958821448073
D) nb_vessels_disease + others,atcd_stroke,1.5866129383968097,0.5942878068366207,0.022119996263469166,0.2517561471135258,2.745978617653978,4.8871677252498245,1.2862823353775348,15.579853193644903
D) fmc_to_diagnosis_minutes + others,(Intercept),-6.258972195615826,1.9004614325350881,0.0019660541984902746,-10.404547487702457,-2.264795356144641,0.0019132111932902843,3.0294405856192307e-05,0.10385128489367036
D) fmc_to_diagnosis_minutes + others,fmc_to_diagnosis_minutes,-0.009069723301919656,0.008404690873581054,0.3571002069178906,-0.030797271862328692,0.007034698183495087,0.9909712825741754,0.9696721329769116,1.0070594997959383
D) fmc_to_diagnosis_minutes + others,nb_vessels_disease,0.3493622506959732,0.1973962445672139,0.09658519586031189,-0.062252616058094096,0.7754898679843012,1.4181628277749754,0.939645487267886,2.171655691255251
D) fmc_to_diagnosis_minutes + others,dyslip,-0.7694398933967962,0.3349454051124568,0.027631807489227778,-1.5141788073765752,-0.08263344230561148,0.46327247762981316,0.21998876384264845,0.920688570853514
D) fmc_to_diagnosis_minutes + others,kilip,0.458232440645371,0.13789166519507629,0.0036031388108207496,0.15679417032777765,0.7404551149154478,1.5812765132808657,1.169754818869434,2.096889623106889
D) fmc_to_diagnosis_minutes + others,did_vf_occur,-1.0060778336750207,0.6703764985949435,0.1257961712946345,-2.6841732193107126,0.2529777370816923,0.3656503121153738,0.06827762128539658,1.2878546051136077
D) fmc_to_diagnosis_minutes + others,thrombectomy,0.018616882440316965,0.31355209516531013,0.9558422652724679,-0.649006380756787,0.6772494605099328,1.0187912570190294,0.5225647492784864,1.9684559633922156
D) fmc_to_diagnosis_minutes + others,is_rcv,-0.9066967243308404,0.4062955180414364,0.02550449682159084,-1.8596968035601071,-0.10438859727371258,0.4038560710269661,0.15571983691137994,0.900875151764856
D) fmc_to_diagnosis_minutes + others,is_smoker,0.5921378252622502,0.33817492402696,0.09950933490322889,-0.111371627230061,1.3234153760489777,1.8078491527256035,0.8946062271116002,3.7562284269701114
