model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.038099292396637,0.13271096388129391,0.0,-3.3089361632691814,-2.7877832417205894,0.04792589609343537,0.036555041671542166,0.06155752092350456
A) is_cancer alone,is_cancer,-1.0727745717576018,1.4319171535178157,0.3690346734515001,-5.918718419257608,0.9082823094874392,0.34205813473582536,0.00268864368388484,2.4800588989895624
B) is_cancer + nb_vessels_disease,(Intercept),-4.104223420506617,0.39626975010924587,0.0,-4.930472786689082,-3.3623365598052333,0.01650282962248971,0.007223087494349366,0.03465419267983383
B) is_cancer + nb_vessels_disease,is_cancer,-1.1270310949011049,1.4282326538786363,0.3421874050560185,-5.974562127778054,0.8622159421143994,0.32399373658608116,0.0025426151836139823,2.368403127329592
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.5155041520371384,0.1670183044612641,0.0017119989877442121,0.19141194929028257,0.8529131034221238,1.6744824827871354,1.210958202716432,2.346472422145968
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-2.609839973419583,0.3317773171798852,1.1102230246251565e-15,-3.2848604426614374,-1.9022887455532227,0.07354631218624315,0.03744581056643526,0.14922668615864138
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,-1.0389021556581575,1.426942842186501,0.3875753291230998,-5.885220186077988,0.9443111149842074,0.35384293326221933,0.0027802339891071894,2.571041616343684
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,-0.01049710520332288,0.007938870575446372,0.2131964753261706,-0.028592880063128972,0.004002431674534773,0.989557797132376,0.971812027991729,1.0040104521010225
B) is_cancer + dyslip,(Intercept),-3.43222272556011,0.22937783565037026,0.0,-3.9174854710742735,-3.0107748816847897,0.03231503343657944,0.01989104852982144,0.049253498335944404
B) is_cancer + dyslip,is_cancer,-1.042684512090433,1.4270818452405185,0.38597480630966874,-5.88948138988914,0.9430787408425854,0.35250710105690564,0.0027684120511688288,2.567875082716512
B) is_cancer + dyslip,dyslip,0.6742431003284798,0.2801415913304978,0.013649563831345524,0.13599581817290665,1.2454240761527802,1.9625469625079757,1.1456771025612964,3.474407900496844
B) is_cancer + kilip,(Intercept),-2.9174466728087665,0.24829675079871572,0.0,-3.403780243437621,-2.416282224959272,0.05407157361018335,0.03324734903140254,0.08925282332231352
B) is_cancer + kilip,is_cancer,-1.0279176974397315,1.4254598527723312,0.39348038217893844,-5.87417151823151,0.9549914409020002,0.35775113160290584,0.002811122193526325,2.59864834073852
B) is_cancer + kilip,kilip,-0.0826118770664667,0.16057211649053663,0.5994204433963719,-0.4393462469355428,0.2052986250292204,0.9207084259368113,0.6444575995253944,1.2278916894104648
B) is_cancer + did_vf_occur,(Intercept),-3.1150280819824943,0.14235600730885054,0.0,-3.4066048969719573,-2.8472464130553945,0.044377260928526056,0.03315356929943246,0.05800381973783251
B) is_cancer + did_vf_occur,is_cancer,-1.0360288840053278,1.4293367382008548,0.3891284657259577,-5.882339956358358,0.9471853172684951,0.354861082140611,0.0027882532447756018,2.578441939949355
B) is_cancer + did_vf_occur,did_vf_occur,0.8542563643820615,0.3865975856762867,0.0433372732737054,0.027987188049333266,1.565142809989929,2.3496264648211533,1.0283825087510536,4.783357998427613
B) is_cancer + thrombectomy,(Intercept),-3.011795950925557,0.1793337914655327,0.0,-3.3838605038131973,-2.6772873386369365,0.049203232770471936,0.03391626779254035,0.06874939526380794
B) is_cancer + thrombectomy,is_cancer,-1.067498878552229,1.4266710895290065,0.37201249906918843,-5.913617214936696,0.9145081284452261,0.34386749713690223,0.0027023940465492093,2.4955474611622375
B) is_cancer + thrombectomy,thrombectomy,-0.039723317084271334,0.26416388832764626,0.8808837972116923,-0.5655167163443834,0.4792202952384265,0.9610553099550075,0.5680665416420283,1.6148148323965423
B) is_cancer + is_smoker,(Intercept),-2.9700574391049903,0.19871099517821272,0.0,-3.384989358791646,-2.6011058880573468,0.05130036360032024,0.033878002846643135,0.07419148535233462
B) is_cancer + is_smoker,is_cancer,-1.0849406208029646,1.42646893501779,0.36272329700320716,-5.931032707278955,0.8968336652416581,0.33792185082715015,0.002655737972202403,2.451827500923154
B) is_cancer + is_smoker,is_smoker,-0.1052762521302403,0.2651363911249414,0.6931083679790011,-0.6248253112840422,0.42391765084215793,0.900075840370071,0.5353549408181739,1.527935764379722
B) is_cancer + hta,(Intercept),-3.076318940793468,0.18791834869224688,0.0,-3.467469658002437,-2.7266877706594004,0.04612874715476502,0.03119586709008228,0.06543566906420921
B) is_cancer + hta,is_cancer,-1.0803504478107373,1.4264585518666402,0.3650192136814473,-5.926303967926434,0.9007114242601718,0.33947653598749095,0.0026683260041658833,2.461353555060922
B) is_cancer + hta,hta,0.09285375305753474,0.2633085168539868,0.7253769516652935,-0.42709287846109256,0.6141909663754201,1.0973012465806025,0.652402955231372,1.848160770345013
B) is_cancer + is_diabetic,(Intercept),-3.080020798633877,0.1482632948248623,0.0,-3.384392506369273,-2.80140890547165,0.045958300769232435,0.03389822905013617,0.06072444732135126
B) is_cancer + is_diabetic,is_cancer,-1.0723944237610017,1.4262304315541994,0.3691566001560561,-5.918252600078774,0.9082287120523856,0.34218819216943613,0.0026898963974241893,2.4799259777559453
