model_label,param,coef,se,p_value,ci_lower,ci_upper,OR,OR_ci_lower,OR_ci_upper
A) is_cancer alone,(Intercept),-3.761200115693547,0.189482734392662,0.0,-4.155982332336711,-3.4104380764877806,0.023255813953488736,0.0156703900355024,0.033026728972896345
A) is_cancer alone,is_cancer,1.3275867602930973,0.686288150801954,0.09790302932014039,-0.29797942152131174,2.5059282622609826,3.7719298245613455,0.7423166153372482,12.254929476120434
B) is_cancer + nb_vessels_disease,(Intercept),-4.248704931839715,0.49812735539957825,0.0,-5.304599860825476,-3.3217899369158053,0.01428271903132874,0.004968685996632497,0.03608817834590172
B) is_cancer + nb_vessels_disease,is_cancer,1.3076827573331553,0.6825973163607963,0.10243461433932555,-0.31875815186757195,2.487144729253832,3.69759555103252,0.7270513640598235,12.02688703002178
B) is_cancer + nb_vessels_disease,nb_vessels_disease,0.25061129279536454,0.2209197911677516,0.2595555893146486,-0.18525021741663825,0.6962753730528941,1.2848105721295104,0.8308963531002959,2.00626618078589
B) is_cancer + fmc_to_diagnosis_minutes,(Intercept),-3.9020102228703104,0.24503517143175982,0.0,-4.392271336642363,-3.336792794099951,0.02020126156382728,0.01237259495306451,0.035550793791762986
B) is_cancer + fmc_to_diagnosis_minutes,is_cancer,1.292314804643653,0.6811134616721655,0.10678017448422894,-0.33806344745460143,2.4799883839966013,3.6412054872730772,0.7131500389081132,11.941125708886664
B) is_cancer + fmc_to_diagnosis_minutes,fmc_to_diagnosis_minutes,0.003441986892847246,0.0033640314733212793,0.4127158269257545,-0.007941171314171033,0.009040425413170985,1.003447917331945,0.9920902764875636,1.0090814134824146
B) is_cancer + dyslip,(Intercept),-3.6006511678634747,0.2471666449260423,0.0,-4.1254654962178074,-3.148218549539555,0.02730593590896395,0.016155972293504222,0.042928533845595196
B) is_cancer + dyslip,is_cancer,1.3118975851196095,0.6823705323761132,0.10134066553168386,-0.31375791415951937,2.4900368260464356,3.713213169169241,0.7306958978803076,12.061720297737798
B) is_cancer + dyslip,dyslip,-0.3040579960653646,0.36447027764195633,0.4048019591491835,-1.040560586013297,0.4110521497291486,0.7378180746644402,0.3532565957351104,1.5084040173679227
B) is_cancer + kilip,(Intercept),-4.395231789803241,0.32507205047167015,0.0,-5.067190872312021,-3.7804507402933982,0.012336020630224577,0.006300093072305053,0.022812406636522328
B) is_cancer + kilip,is_cancer,1.294235519422006,0.6900430434865502,0.1074198465004329,-0.3417113797729872,2.4894186261086193,3.64820592523369,0.7105532551587088,12.054266047345743
B) is_cancer + kilip,kilip,0.4152740212197898,0.14560444487913476,0.009422316175484058,0.10961528838833373,0.6903706444263679,1.5147857672700742,1.1158487079189903,1.9944546297557821
B) is_cancer + did_vf_occur,(Intercept),-3.8375181954885207,0.20304206470777397,0.0,-4.262502310059318,-3.462888979667395,0.02154701051001551,0.014087008207717562,0.03133909310832612
B) is_cancer + did_vf_occur,is_cancer,1.365581876540978,0.686271380268748,0.09035164862728895,-0.26163366881740957,2.5483242424778427,3.918002182399596,0.7697929712308387,12.785660154341018
B) is_cancer + did_vf_occur,did_vf_occur,0.8924255178266003,0.5219850443125064,0.1215976163779583,-0.27152284494341417,1.827299992495289,2.4410432705644274,0.7622178704450204,6.21707781996973
B) is_cancer + thrombectomy,(Intercept),-3.850433926850535,0.2671130906514362,0.0,-4.422540277533817,-3.3649075942537547,0.02127050459248201,0.012003700790466957,0.03456520999445923
B) is_cancer + thrombectomy,is_cancer,1.2979079011343542,0.683540330273099,0.10477683212240863,-0.329201300785507,2.4785217734235783,3.6616281606575676,0.7194981666222307,11.923625563753978
B) is_cancer + thrombectomy,thrombectomy,0.21112654471280878,0.362928875081001,0.5624774911075614,-0.5061564889826946,0.9387198020453918,1.235068636578801,0.6028080313068546,2.5567062322442653
B) is_cancer + is_rcv,(Intercept),-3.871897127294112,0.24047936214984314,0.0,-4.381698397696362,-3.4315653198105127,0.020818835955137085,0.012504103635664633,0.0323362845098826
B) is_cancer + is_rcv,is_cancer,1.3475819365471415,0.683185329010753,0.09376716530472007,-0.27836324203677854,2.527224364384531,3.8481092991579318,0.7570217894290743,12.518710490293202
B) is_cancer + is_rcv,is_rcv,0.34447845806904365,0.3693087814190186,0.3594676737783633,-0.4069566314510712,1.0633053572548972,1.4112536997199392,0.6656730589501487,2.895927261303716
B) is_cancer + is_smoker,(Intercept),-3.6312433886223703,0.27200120407249245,0.0,-4.213685553775038,-3.136236475122175,0.026483234975611742,0.014791751956840403,0.04344600070492105
B) is_cancer + is_smoker,is_cancer,1.3005929839379191,0.6832415248587167,0.10413411245126636,-0.3263592860028374,2.4809313276057674,3.671473146851439,0.7215458995131453,11.952390827411175
B) is_cancer + is_smoker,is_smoker,-0.20200716353614626,0.3629374052885718,0.5811498193671532,-0.9192614760883333,0.5260259416930684,0.8170890746741505,0.3988134656320118,1.6921940505479856
B) is_cancer + hta,(Intercept),-3.9732787286877844,0.28738595643898196,0.0,-4.593507841001755,-3.4537385121845388,0.01881165360300095,0.010117306152706994,0.031627176499483246
B) is_cancer + hta,is_cancer,1.2942254126324066,0.6832346267292791,0.10556891141872604,-0.33263570755666666,2.4742843365808835,3.6481690537703146,0.7170313556877346,11.873206851987664
B) is_cancer + hta,hta,0.4219207656597639,0.3684687136342744,0.2503730755723249,-0.2956229091105991,1.1722384200851805,1.5248876964259086,0.7440679563719556,3.229212889527544
B) is_cancer + is_diabetic,(Intercept),-3.7194335946328425,0.20223006255210385,0.0,-4.1426086662080905,-3.345690420291211,0.024247697983191156,0.01588136823138678,0.035235879191585925
B) is_cancer + is_diabetic,is_cancer,1.3258185115518666,0.6816173107376321,0.09814001718960719,-0.2990122161714611,2.5027075323632877,3.7652660077761904,0.7415503504734493,12.215523150991112
B) is_cancer + is_diabetic,is_diabetic,-0.16716469062983172,0.512164291329646,0.7410004653759565,-1.3198705319187707,0.7488240911960149,0.8460602616653413,0.26716988969977995,2.11451208073464
B) is_cancer + is_male,(Intercept),-3.2880871564797722,0.3031896030536641,0.0,-3.9434184173664226,-2.740222093021307,0.0373251783794794,0.019381846132792403,0.06455600786209846
B) is_cancer + is_male,is_cancer,1.3309068962293313,0.6841992313003988,0.09757452410961731,-0.2966360469771547,2.513154070131228,3.7844739569099795,0.7433144946947917,12.343801942977537
B) is_cancer + is_male,is_male,-0.6535825725923707,0.37571007670777135,0.09404748185923228,-1.3792964039186904,0.11694729643232804,0.5201788560555048,0.2517556250300982,1.1240601861472896
B) is_cancer + age,(Intercept),-6.017206890944838,1.0071164491520836,7.600675644425792e-11,-8.104401182019703,-4.091661439376977,0.0024364654134844434,0.00030220614261163996,0.01671144542734587
